borough,block,lot,bin,building,agency,_2010_score,_2010source_eui_kbtu_ft,_2010_ghg_emissions_intensity_kgco2e_ft,_2014_score,_2014_source_eui_kbtu_ft,_2014_ghg_emissions_intensity_kgco2e_ft
2,2333,70,2000957,X183,DOE,52,115.1,4.8,76,109.8,4.4
2,2344,96,2001027,X884,DOE,67,123.6,3.8,56,148,4.9
2,2359,100,2115801,X963,DOE,11,251.3,6.5,3,247.7,6.5
2,2359,240,2001153,"X470 within (X470, X920)",DOE,23,130.3,4.7,36,169.5,7.1
2,2390,1,2001619,X132,DOE,50,107.7,5.3,79,93.4,4.7
2,2403,1,2001736,X029,DOE,78,104.4,5,83,102.6,5.4
2,2411,22,2001874,X600,DOE,79,108.3,6,84,114.3,6.5
2,2411,119,2001881,X001,DOE,93,70.9,3.5,90,83.9,4.5
2,2424,1,2097111,X145,DOE,47,101.9,4.9,85,99.6,5.4
2,2435,75,2002299,"X053 within (X053, X851, X874)",DOE,58,122.9,5.8,78,122.8,6.2
2,2435,75,2002299,"X851 within (X053, X851, X874)",DOE,58,122.9,5.8,78,122.8,6.2
2,2435,75,2002299,"X874 within (X053, X851, X874)",DOE,58,122.9,5.8,78,122.8,6.2
2,2438,50,2002410,X022,DOE,53,106.2,5.3,35,125.2,6.6
2,2443,78,2103486,X790,DOE,Not Available,Not Available,2.9,6,280.9,8.1
2,2443,79,2002454,"X156 within (X151, X156)",DOE,38,158.6,4.1,34,164.6,4.3
2,2443,190,2001036,X031 (closed),DOE,100,10.7,0.3,Not Available,Not Available,0
2,2443,190,2001036,"X151 within (X151, X156)",DOE,38,158.6,4.1,34,164.6,4.3
2,2445,6,2109459,X460,DOE,23,177.5,5.3,13,199.6,6.4
2,2446,43,2101573,X035,DOE,92,103.4,3.5,99,99.9,3.7
2,2446,43,2002497,X166,DOE,87,103.5,4.4,85,102.8,4.9
2,2456,100,2002745,"X090 within (X090, X890)",DOE,82,77.8,4.3,59,131.5,6.7
2,2456,100,2002745,"X890 within (X090, X890)",DOE,82,77.8,4.3,59,131.5,6.7
2,2480,8,2097130,X235,DOE,35,168.7,5.4,32,171.8,6.1
2,2495,100,2003022,X114,DOE,29,125.8,6.5,82,120.8,6.3
2,2504,82,2003051,"X073 within (X073, X873)",DOE,19,204.5,11.5,43,167.8,9.6
2,2526,83,2003495,X126,DOE,13,129.1,6.6,57,125.4,6.9
2,2527,58,2117349,X285,DOE,Not Available,Not Available,Not Available,4,284.5,9.3
2,2529,81,2003519,X011,DOE,41,120.5,4.5,66,95.8,3.8
2,2535,10,2116205,X172,DOE,21,178.6,5.3,35,165.9,5.3
2,2552,70,2003646,X855,DOE,9,204.2,5.3,23,182.9,4.8
2,2571,1,2003834,X065,DOE,39,128.6,6.1,52,116.3,5.6
2,2576,26,2003883,X655,DOE,48,145.5,6.4,65,135.9,5.1
2,2578,27,2003910,X155,DOE,75,105.6,5.2,87,98.8,5.6
2,2615,14,2004302,"X063 within (X063, X862)",DOE,41,146.5,5.5,19,182.2,7.2
2,2616,1,2004314,X162,DOE,73,78.6,3.8,95,80.2,4.2
2,2625,1,2004464,X157,DOE,77,106.2,5.3,92,79.2,2.9
2,2627,9,2004469,"X140 within (X140, X840)",DOE,56,110.9,5.7,90,75.5,2.9
2,2627,9,2004469,"X840 within (X140, X840)",DOE,56,110.9,5.7,90,75.5,2.9
2,2631,48,2004496,X120,DOE,79,92.4,5.2,79,105.1,6.1
2,2632,27,2004498,X146,DOE,76,102.4,4.6,76,104.9,4.8
2,2634,1,2004526,"X400 within (X400, X961)",DOE,56,158.4,5.7,68,135.8,5.3
2,2642,1,2004548,X005,DOE,82,128.2,6.2,96,104.8,5.4
2,2655,30,2004690,X184,DOE,86,109.2,4.8,89,91.7,3.7
2,2664,1,2004772,X025,DOE,85,88.2,3.4,84,98.6,4.1
2,2664,29,2004773,X161,DOE,70,95.6,4.3,57,114.6,5.7
2,2668,1,2004807,"X650 within (X650, X962)",DOE,80,123,4.4,66,140.5,5.4
2,2671,11,2004868,X158,DOE,78,123.8,5.5,77,118.2,5
2,2672,1,2004869,X198,DOE,72,129.1,5.9,87,103.3,4.4
2,2683,65,2005089,X062,DOE,47,140.2,8.1,56,130.2,7.5
2,2686,20,2005133,X052,DOE,34,169.9,9.1,36,162.1,9.5
2,2688,1,2005168,X130,DOE,43,107,5.6,61,132.5,7.9
2,2692,14,2005276,X099,DOE,59,125.4,5.2,73,118.1,5.2
2,2696,85,2005348,X060,DOE,79,65.2,3.3,84,73.8,3.8
2,2698,12,2005366,X401,DOE,88,95.5,5.1,95,77.2,3
2,2710,1,2005616,X039,DOE,44,99.9,4.1,90,93.9,4.4
2,2714,4,2005660,X116,DOE,21,148.8,5.1,66,122.2,3.7
2,2717,5,2005681,X150,DOE,77,90,4,76,92.1,4.8
2,2723,33,2116211,X392,DOE,13,241.2,6.8,9,232.8,6.6
2,2747,1,2006079,X075,DOE,44,87.7,3.3,69,91.2,3.8
2,2763,279,2006566,X074,DOE,49,92,2.5,60,136.6,5.8
2,2766,1,2006680,X048,DOE,13,119,6.3,42,117.8,6.2
2,2793,28,2007387,"X070 within (X070, X870)",DOE,8,120.6,6.3,37,113.2,5.2
2,2793,28,2007387,"X870 within (X070, X870)",DOE,8,120.6,6.3,37,113.2,5.2
2,2804,31,2007603,"X028 within (X028, X928)",DOE,33,115.8,5.5,81,92.3,4.8
2,2817,2,2007806,"X410 within (X410, X411)",DOE,85,104.5,5,89,109.9,4.1
2,2827,1,2007902,"X117 within (X117, X957)",DOE,32,133.9,7,55,139.8,7.4
2,2830,17,2094535,X088,DOE,54,126.3,6.4,74,104.4,5.7
2,2843,40,2008098,"X064 within (X064, X924)",DOE,14,129.7,6.1,63,123.6,5.8
2,2847,41,2103870,X170,DOE,30,155.3,4.8,71,145.7,4.6
2,2851,21,2098479,X173,DOE,21,193.6,6,55,168.8,5.4
2,2862,14,2098721,X306,DOE,17,167.4,6.1,48,150.9,6.1
2,2866,70,2008460,X082,DOE,32,159.7,7.8,80,134.9,6.7
2,3182,4,2088408,X896,DOE,82,94.4,2.6,96,80.9,2.2
2,2866,105,2008470,X338,DOE,Not Available,Not Available,2.1,71,137.8,3.8
2,2873,27,2088263,X104,DOE,62,101.1,3.9,79,95.8,3.9
2,2876,8,2008794,X824,DOE,45,77.8,2.1,83,108.1,4.8
2,2877,393,2094549,"X109 within (X109, X899)",DOE,15,128.5,6.9,63,115.6,6
2,2877,393,2094549,"X899 within (X109, X899)",DOE,15,128.5,6.9,63,115.6,6
2,2882,130,2009253,X229,DOE,27,180.3,6,29,171.9,6.3
2,2897,5,2009400,X147,DOE,87,102.3,4.4,93,90.2,3.7
2,2898,1,2094564,X876,DOE,47,189.6,5.5,46,171.2,5.2
2,2902,1,2009463,X055,DOE,26,138.8,5.9,51,134.6,5.5
2,2903,23,2009466,X042,DOE,72,80.7,2.8,93,77.2,3
2,2909,32,2009540,X058,DOE,72,107.8,5,88,102.9,5.3
2,2913,1,2009555,X970,DOE,22,213.4,6,19,207.8,6.1
2,2923,18,2815559,X465,DOE,Not Available,Not Available,3.3,2,288.3,8.8
2,2925,1,2009611,X148,DOE,62,91.7,3.9,89,105.2,5.1
2,2925,56,2009617,X002,DOE,74,85.8,4.3,89,103.4,5.9
2,2930,1,2009659,X004,DOE,77,114.6,4.5,77,120.8,4.9
2,2930,75,2100071,X171,DOE,18,200.6,6.9,39,185.9,6.5
2,2932,1,2009718,X110,DOE,83,87.1,3.9,89,80.6,4.2
2,2939,45,2009865,X061,DOE,31,126.1,5.2,71,111.4,4.7
2,2939,93,2009867,X098,DOE,29,105.2,4.5,82,114.3,4.9
2,2949,64,2009957,X044,DOE,28,115.3,4.6,75,114.9,5
2,2951,32,2094582,X193,DOE,61,106,4.4,81,108,4.8
2,2965,82,2010273,"X134 within (X134, X834)",DOE,46,120.2,5.3,52,128.3,5.7
2,2965,82,2010273,"X834 within (X134, X834)",DOE,46,120.2,5.3,52,128.3,5.7
2,2969,1,2010344,X136,DOE,83,88.4,4.1,82,89.5,4.3
2,2983,15,2010604,X973,DOE,1,275.3,7.8,12,217.8,6.4
2,2990,6,2010671,X817,DOE,68,129.9,3.4,91,144.7,3.8
2,2996,10,2010786,X050,DOE,57,119.3,5,58,118.8,6.1
2,3005,10,2010892,"X006 within (X006, X936)",DOE,52,113.8,4.2,76,105.7,4.2
2,3007,8,2010910,X084,DOE,87,98.3,4.3,88,91.3,4.1
2,3008,1,2010916,X066,DOE,68,100.8,3.7,75,93.7,3.8
2,3013,1,2010945,X878,DOE,46,181.2,5.8,73,177.4,5.9
2,3021,38,2094603,X167,DOE,71,109.5,4.9,83,94.2,4.2
2,3024,21,2011054,"X085 within (X085, X885)",DOE,59,113.6,4.6,68,108.1,4.7
2,3024,21,2011054,"X885 within (X085, X885)",DOE,59,113.6,4.6,68,108.1,4.7
2,3033,7501,2116415,X283,DOE,93,148.1,4.1,95,144.7,4.1
2,3037,79,2090472,X023,DOE,42,154.3,5.6,38,158.8,6.2
2,3049,37,2011538,X059,DOE,57,90.4,3.8,86,93.4,3.9
2,3058,0,2103863,X254,DOE,36,183.4,5.5,46,166.5,5.1
2,3059,1,2011810,X435,DOE,89,112.9,7.7,97,128.7,7
2,3061,55,2011844,X211,DOE,86,124.1,4.9,78,141.1,6
2,3062,6,2011852,X853,DOE,20,212.2,5.5,54,179.2,4.7
2,3062,43,2099356,X003,DOE,56,159.5,5.2,48,159.7,5.5
2,3067,1,2011937,X045,DOE,73,105.1,4,77,101.1,4.1
2,3069,1,2011995,"X118 within (X118, X932)",DOE,51,125.1,4.9,93,137.5,5.6
2,3069,1,2011995,"X932 within (X118, X932)",DOE,51,125.1,4.9,93,137.5,5.6
2,3081,26,2012359,X057,DOE,28,149.3,6,46,127.1,5.4
2,3085,1,2012409,"X032 within (X032, X832)",DOE,26,159.2,7.9,56,128.5,4.9
2,3092,14,2012620,X092,DOE,60,105.5,4.1,71,108.7,4.6
2,3100,14,2098380,X034,DOE,75,112.5,3.6,77,101.7,3.5
2,3104,7,2012887,X660,DOE,82,96.1,5,91,105.4,5.9
2,3109,1,2012957,"X129 within (X129, X234, X941)",DOE,11,143.7,6.2,22,123.6,6.2
2,3109,1,2012957,"X234 within (X129, X234, X941)",DOE,11,143.7,6.2,22,123.6,6.2
2,3114,52,2013047,X864,DOE,35,181.5,4.7,55,170.9,4.5
2,3115,21,2086808,X205,DOE,23,129.6,6.3,93,99.5,4.8
2,3123,3,2013142,"X067 within (X067, X967)",DOE,51,108.6,5.3,76,110.1,5.6
2,3142,48,2013297,"X163 within (X163, X933)",DOE,13,249.7,10.2,40,241,9.6
2,3143,43,2013307,X137,DOE,68,143.1,5.3,66,140.1,5
2,3146,72,2103868,X209,DOE,57,171,5.6,61,163.4,5.5
2,3150,10,2013561,"X009 within (X009, X930)",DOE,47,91,4.7,72,118.9,6.4
2,3150,10,2013561,"X930 within (X009, X930)",DOE,47,91,4.7,72,118.9,6.4
2,3168,27,2013830,X843,DOE,68,114.8,4.5,85,110.9,4.3
2,3170,1,2013849,X079,DOE,48,130.7,5.3,46,131.5,5.5
2,3172,46,2013899,X115,DOE,1,186.3,9.8,31,155,5.6
2,3178,14,2103867,X279,DOE,68,125.8,4.6,55,176.1,6
2,3186,49,2014062,X859,DOE,81,99,2.9,96,95.4,2.9
2,3188,8,2014098,X939,DOE,70,109.7,4.4,76,117.6,4.7
2,3188,20,2014099,X033,DOE,32,132.2,7.3,88,102.9,5.6
2,3208,1,2014505,"X091 within (X091, X891)",DOE,53,104,5.3,77,106.2,5.6
2,3209,1,2086823,X206,DOE,77,129.3,5.5,80,149.3,7.1
2,3216,2,2014692,X026,DOE,76,124.5,6.4,88,105.1,5
2,3222,100,2096465,X826,DOE,93,58.7,2.2,88,174,6.5
2,3222,100,2096465,X827,DOE,62,73.7,2.2,54,79.3,2.6
2,3224,9,2096013,X015,DOE,6,242.7,7.9,2,275.5,10.2
2,3239,41,2096486,"X122 within (X122, X822)",DOE,69,53.9,2.5,56,97.5,3.9
2,3239,41,2096486,"X822 within (X122, X822)",DOE,69,53.9,2.5,56,97.5,3.9
2,3246,2,2015222,X905,DOE,1,288.2,8.2,1,264.4,7.6
2,3247,15,2101862,X340,DOE,27,210.9,6.3,56,169.6,5.2
2,3247,70,2100971,"X086 within (X086, X868)",DOE,94,60.7,2.3,86,107.8,4.6
2,3247,70,2015241,X430,DOE,27,155.3,5.9,97,104,3.9
2,3247,70,2100971,"X868 within (X086, X868)",DOE,94,60.7,2.3,86,107.8,4.6
2,3248,62,2115783,X886,DOE,7,464.1,15.8,5,422.7,15.1
2,3251,201,2095215,X440,DOE,78,118.7,7.1,95,108.1,6.5
2,3251,201,2094706,X445,DOE,79,100.5,4.7,87,111.6,5.3
2,3252,182,2015472,X095,DOE,76,128.5,6.3,39,143.3,6.2
2,3253,141,2015547,X143,DOE,73,96.4,4.9,76,104.4,5.6
2,3253,341,2103864,X360,DOE,51,179.3,5.9,47,185.5,6.2
2,3278,14,2113630,X054,DOE,35,160.5,5.3,47,163.2,5.7
2,3295,1,2094729,"X046 within (X046, X846)",DOE,63,140.5,5.9,81,128.4,5.2
2,3295,1,2094729,"X846 within (X046, X846)",DOE,63,140.5,5.9,81,128.4,5.2
2,3299,60,2094734,"X008 within (X008, X808)",DOE,51,116.4,5.4,82,117.9,5.7
2,3299,60,2094734,"X808 within (X008, X808)",DOE,51,116.4,5.4,82,117.9,5.7
2,3323,36,2017669,X825 (closed),DOE,72,134.3,4.4,Not Available,Not Available,0
2,3329,124,2017858,X852,DOE,15,213.6,6.2,22,217.5,6.6
2,3330,1,2086851,"X020 within (X020, X931)",DOE,4,241.8,8.2,5,235.2,8.5
2,3330,1,2086851,"X931 within (X020, X931)",DOE,4,241.8,8.2,5,235.2,8.5
2,3336,35,2018046,"X080 within (X080, X910)",DOE,52,148.8,7.2,66,140.9,6.4
2,3351,1,2018457,"X056 within (X056, X865)",DOE,44,160.2,5.8,97,99.5,4.2
2,3351,1,2018457,"X865 within (X056, X865)",DOE,44,160.2,5.8,97,99.5,4.2
2,3353,40,2098420,X177,DOE,Not Available,Not Available,Not Available,Not Available,Not Available,5.3
2,3356,36,2018628,X094,DOE,48,98,3.7,65,102.9,4.2
2,3356,36,2115241,X361,DOE,Not Available,Not Available,Not Available,6,258.9,8.8
2,3386,1,2019463,X019,DOE,84,115.3,4.2,84,126.7,5.4
