,__name_of_borough,name_of_center,center_address,zip,telephone_number,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,borough
0,Bronx,Bronx-Lebanon Hospital Center,"1276 Fulton Avenue, Suite 401-402",10456,(718) 466-6072,40.831721,-73.903756,3.0,16.0,149.0,2004246.0,2026120007.0,Morrisania-Melrose                                                         ,Bronx
1,Bronx,Comprehensive Family Care Center,1265 Franklin Avenue,10456,(718) 579-2500 ,40.831025,-73.902698,3.0,16.0,149.0,2004246.0,2026120007.0,Morrisania-Melrose                                                         ,Bronx
2,Bronx,Dr. Martin Luther King Jr. Health Center,(Montefiore) 1621 Eastchester Road,10461,(718) 503-7714 ,,,,,,,,,Bronx
3,Bronx,Montefiore Family Health Center,360 East 193rd Street,10458, (718) 933-2400,40.863191,-73.891056,7.0,15.0,39901.0,2016318.0,2032750040.0,Bedford Park-Fordham North                                                 ,Bronx
4,Bronx,Montefiore Medical Group Comprehensive HCC,305 East 161st Street,10451,(718) 579-2597 ,40.825265,-73.917445,4.0,17.0,173.0,2115808.0,2024210045.0,East Concourse-Concourse Village                                           ,Bronx
5,Bronx,Morris Heights Health Center,Morris Heights Health Center,10453,(718) 716-4400 ,,,,,,,,,Bronx
6,Bronx,Soundview Health Center,731 White Plains Road,10473,(718) 589-2232 ,40.821254,-73.858098,9.0,18.0,16.0,2092716.0,2036000004.0,Soundview-Castle Hill-Clason Point-Harding Park                            ,Bronx
7,Bronx,Urban Health Plan,1065 Southern Boulevard,10459, (718) 991-4833,40.825276,-73.891935,2.0,17.0,12701.0,2114609.0,2027270058.0,Hunts Point                                                                ,Bronx
8,Brooklyn,Bedford/Stuyvesant Family Health Center,1413 Fulton Street,11216,(718) 636-4500,40.680141,-73.94478,3.0,36.0,269.0,3053469.0,3018540052.0,Bedford                                                                    ,Brooklyn
9,Brooklyn,Brooklyn Plaza Medical Center,650 Fulton Street,11217,(718) 596-9896,40.686819,-73.975701,2.0,35.0,35.0,3059247.0,3021130022.0,Fort Greene                                                                ,Brooklyn
10,Brooklyn,Brownsville Multi-Service Family Health Center,592 Rockaway Avenue,11212,(718) 345-5000 ,40.66552,-73.90968,16.0,41.0,924.0,3081790.0,3035600026.0,Brownsville                                                                ,Brooklyn
11,Brooklyn,Community Health Care Network - CABS Health Center,94-98 Manhattan Ave.,11206,(718) 388-0390,40.70552,-73.94464,1.0,34.0,505.0,3071335.0,3030790006.0,East Williamsburg                                                          ,Brooklyn
12,Brooklyn,Community Health Care Network ,Caribbean House Health Center,11225,(718) 778-0198 ,,,,,,,,,Brooklyn
13,Brooklyn,Community Health Care Network ,Dr. Betty Shabazz Health Center,11208,(718) 277-8303 ,,,,,,,,,Brooklyn
14,Brooklyn,Ezra Medical Center,571 McDonald Avenue,11213,(718) 686-7600 ,40.639923,-73.978983,12.0,39.0,486.0,3126000.0,3053700089.0,Kensington-Ocean Parkway                                                   ,Brooklyn
15,Brooklyn,ODA Primary Care Health Center,14-16 Heyward Street,11211,(718) 260-4600 ,40.699929,-73.958822,1.0,33.0,537.0,3061077.0,3022300004.0,Williamsburg                                                               ,Brooklyn
16,Brooklyn,Sunset Park Family Health Center,150 55th Street,11220,(718) 630-7095 ,40.646941,-74.02093,7.0,38.0,22.0,3014856.0,3008280001.0,Sunset Park West                                                           ,Brooklyn
17,Brooklyn,Sunset Park Family Health Center,9711 Third Avenue,11209,(718) 759-9126 ,40.615612,-74.034258,10.0,43.0,5601.0,3155833.0,3061260007.0,Bay Ridge                                                                  ,Brooklyn
18,Brooklyn,Sunset Park Family Health Center Brooklyn-Chinese Family Health Center,812 54th Street,11220,(718) 686-2680 ,40.638557,-74.005531,12.0,38.0,106.0,3139119.0,3056720011.0,Sunset Park East                                                           ,Brooklyn
19,Brooklyn,Sunset Park Family Health Center Caribbean-American Family Health Center,3414 Church Avenue,12203,(718) 940-9425 ,,,,,,,,,Brooklyn
20,Brooklyn,Sunset Park Family Health Center Family Physician Family Health Center,5616 6th Avenue,11220,(718) 439-5440 ,40.640272,-74.011772,7.0,38.0,102.0,3015404.0,3008400043.0,Sunset Park East                                                           ,Brooklyn
21,Brooklyn,Sunset Park Family Health Center Park Ridge Family Health Center,6317 4th Avenue,11220,(718) 907-8100 ,40.638987,-74.02034,7.0,38.0,122.0,3144058.0,3058090003.0,Sunset Park West                                                           ,Brooklyn
22,Brooklyn,Sunset Park Family Health Center,220 13th Street,11215,(718) 832-5980 ,40.667602,-73.990051,6.0,39.0,141.0,3339179.0,3010340068.0,Park Slope-Gowanus                                                         ,Brooklyn
23,Brooklyn,Sunset Park Family Health Center,9000 Shore Road,11209,(718) 630-8878 ,40.622093,-74.040244,10.0,43.0,5201.0,3322532.0,3060780010.0,Bay Ridge                                                                  ,Brooklyn
24,Brooklyn,Sunset Park Family Health Center,514 49th Street,11220,(718) 854-1851 ,40.645329,-74.009193,7.0,38.0,98.0,3012967.0,3007840010.0,Sunset Park East                                                           ,Brooklyn
25,Manhattan,Betances Health Center,280 Henry Street,10002,(212) 227-8408 ,40.71395,-73.983537,3.0,2.0,202.0,1003220.0,1002670010.0,Lower East Side                                                            ,Manhattan
26,Manhattan,Boriken Neighborhood Health Center,2253 Third Avenue,10035,(212) 289-6650 ,40.802079,-73.936989,11.0,8.0,194.0,1054626.0,1017870001.0,East Harlem North                                                          ,Manhattan
27,Manhattan,Callen-Lorde Community Health Center,356 West 18th Street,10011,(212) 271-7200 ,40.742905,-74.00227,4.0,3.0,83.0,1013088.0,1007410063.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Manhattan
28,Manhattan,Charles B. Wang Community Health Center,268 Canal Street,10013,(212) 379-6988 ,40.718834,-74.001111,1.0,1.0,31.0,1002344.0,1001960013.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Manhattan
29,Manhattan,Community Health Care Network,79 Madison Avenue,10016,(212) 366-4500 ,40.744096,-73.985619,5.0,2.0,74.0,1016900.0,1008580022.0,Midtown-Midtown South                                                      ,Manhattan
30,Manhattan,Heritage Health Care,1727 Amsterdam Avenue,10031,(212) 862-0054 ,40.825507,-73.947395,9.0,7.0,231.0,1061339.0,1020600001.0,Hamilton Heights                                                           ,Manhattan
31,Manhattan,Institute for Urban Family Health,16 East 16th Street,10003,(212) 633-0800 ,40.737122,-73.99218,5.0,2.0,52.0,1016077.0,1008430039.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,Manhattan
32,Manhattan,Ryan/Chelsea-Clinton Community Health Center,645 Tenth Avenue,10036,(212) 265-4500 ,40.761929,-73.993809,4.0,3.0,129.0,1085777.0,1010747502.0,Clinton                                                                    ,Manhattan
33,Manhattan,Settlement Health & Medical Services,212 East 106th Street,10029,(212) 360-2661,40.791342,-73.944161,11.0,8.0,170.0,1087874.0,1016550007.0,East Harlem South                                                          ,Manhattan
34,Manhattan,William F. Ryan Community Health Center,110 West 97th Street,10025,(212) 316-7906 ,40.79381,-73.967655,7.0,7.0,181.0,1079308.0,1018517501.0,Upper West Side                                                            ,Manhattan
35,Queens,Charles B. Wang Community Health Center,136-26 37th Ave - 2nd Fl,11345,(718) 886-1200 ,,,,,,,,,Queens
36,Queens,Community Health Care Network,97-04 Sutphin Blvd,11435,(718) 657-7088,40.697162,-73.805689,12.0,28.0,208.0,4214585.0,4100300006.0,Jamaica                                                                    ,Queens
37,Queens,The Floating Hospital,41-40 27th Street,11101,(718) 784-2240,40.751296,-73.938824,1.0,26.0,33.0,4005006.0,4004150004.0,Queensbridge-Ravenswood-Long Island City                                   ,Queens
38,Queens,Joseph P. Addabbo Family Health Center,6200 Beach Channel Drive,11692,(718) 634-2155 ,40.593126,-73.7916,14.0,31.0,964.0,4302404.0,4160150001.0,Hammels-Arverne-Edgemere                                                   ,Queens
39,Queens,Project Samaritan Health Services /,137-50 Jamaica Avenue,11435,(718) 298-5100 ,40.702483,-73.815227,12.0,24.0,212.0,4213644.0,4099700019.0,Jamaica                                                                    ,Queens
40,Staten Island,Staten Island ,235 Port Richmond Avenue,10302,(718) 876-1732,40.635621,-74.135021,1.0,49.0,207.0,5024241.0,5010350001.0,Port Richmond                                                              ,Staten Island
