,program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
0,Family Support,HIV/AIDS Support Services,"AIDS Center of Queens County, Inc.",Queens,"AIDS Center of Queens County, Inc.",718 896-2500,,,,,,,,,,,,,,,,
1,Family Support,Housing Assistance & Advocacy,"Brooklyn Housing and Family Services, Inc.",Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,,,,,,,,,,,,,,,
2,Family Support,Housing Assistance & Advocacy,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation                            ,718.859.4763,Adults,,,,,,,,,,,,,,,
3,Family Support,Older Adult Program,Pelham Parkway Senior Center,Bronx,Conscientious Musical Revues,800.624.8474,Seniors,,,,,,,,,,,,,,,
4,Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8300,Adults,"{'latitude': '40.847051676059', 'longitude': '-73.937044724943', 'human_address': '{""address"": ""76 Wadsworth Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",10033.0,40.847012,-73.93704,12.0,10.0,263.0,1063574.0,1021450051.0,Washington Heights South                                                   ,13091.0,47.0,4.0,39.0,21.0
5,Family Support,Young Parent Education & Family Support,Dr. White Community Center ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.722.6023,MS/HS,"{'latitude': '40.698288822006', 'longitude': '-73.983097400318', 'human_address': '{""address"": ""200 Gold Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11201""}'}",11201.0,40.698184,-73.983079,2.0,33.0,15.0,3000197.0,3001090001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,16865.0,68.0,2.0,38.0,54.0
6,Family Support,Fatherhood Initiative,Oberia Dempsey Center ,New York ,The Northern Manhattan Perinatal Partnership Inc.,212.665.2600,16 to 24,"{'latitude': '40.809438819236', 'longitude': '-73.945341926389', 'human_address': '{""address"": ""127 127th"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10027""}'}",,,,,,,,,,12424.0,18.0,4.0,36.0,20.0
7,Family Support,Fatherhood Initiative,The New York Society for the Prevention of Cruelty to Children,New York ,The New York Society for the Prevention of Cruelty to Children,212.233.5500,16 to 24,"{'latitude': '40.709999539835', 'longitude': '-74.006016649884', 'human_address': '{""address"": ""161 William Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10038""}'}",10038.0,40.710059,-74.005955,1.0,1.0,1501.0,1001269.0,1000920005.0,Battery Park City-Lower Manhattan                                          ,13096.0,56.0,4.0,32.0,1.0
8,Family Support,Older Adult Program,Greater Chinatown Community Association,New York,Greater Chinatown Community Association,212.374.1311,Seniors,"{'latitude': '40.714478163541', 'longitude': '-73.999235761783', 'human_address': '{""address"": ""105 Mosco Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10013""}'}",10013.0,40.714459,-73.999347,3.0,1.0,29.0,1001820.0,1001640044.0,Chinatown                                                                  ,12076.0,70.0,4.0,32.0,2.0
9,Family Support,Economic Development,Northfield Community LDC,Staten Island,Northfield Community LDC,718.442.7351,,"{'latitude': '40.636120658508', 'longitude': '-74.131878378944', 'human_address': '{""address"": ""160 Heberton Avenue Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10302""}'}",10302.0,40.636179,-74.131816,1.0,49.0,207.0,5110130.0,5010200020.0,Port Richmond                                                              ,10370.0,4.0,1.0,13.0,75.0
10,Family Support,Older Adult Program,Mercy Manor ,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.893603864286', 'longitude': '-73.860614532487', 'human_address': '{""address"": ""4170 Carpenter Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10466""}'}",10466.0,40.893523,-73.860689,12.0,12.0,420.0,2063271.0,2048340052.0,Williamsbridge-Olinville                                                   ,11275.0,29.0,5.0,2.0,30.0
11,Family Support,Older Adult Program,St. Lukes,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.885144265016', 'longitude': '-73.858606154195', 'human_address': '{""address"": ""3911 Barnes Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10466""}'}",10466.0,40.885201,-73.858541,12.0,12.0,396.0,2063301.0,2048360001.0,Williamsbridge-Olinville                                                   ,11275.0,29.0,5.0,2.0,30.0
12,Family Support,Older Adult Program,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,Seniors,"{'latitude': '40.575793969704', 'longitude': '-73.959507450797', 'human_address': '{""address"": ""3300 Coney Island Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11235""}'}",11235.0,40.575607,-73.959463,13.0,48.0,36002.0,3326880.0,3086930001.0,Brighton Beach                                                             ,13826.0,21.0,2.0,15.0,35.0
13,Family Support,Domestic Violence Program,I.S. 281,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,718.236.5266,MS/HS,"{'latitude': '40.604011809897', 'longitude': '-74.000969000119', 'human_address': '{""address"": ""87 87 24th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11214""}'}",,,,,,,,,,17616.0,1.0,2.0,45.0,37.0
14,Family Support,Fatherhood Initiative,Neighborhood Defender Service of Harlem,New York ,Neighborhood Defender Service of Harlem,212.876.5500,16 to 24,"{'latitude': '40.808477178137', 'longitude': '-73.945100354507', 'human_address': '{""address"": ""317 Lenox Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10027""}'}",10027.0,40.808291,-73.945122,10.0,9.0,222.0,1085673.0,1019107501.0,Central Harlem South                                                       ,12424.0,18.0,4.0,36.0,18.0
15,Family Support,Parent Education and Family Support,Village Care of New York,Brooklyn,Village Care of New York,718.852.5748,HS,"{'latitude': '40.676267274662', 'longitude': '-74.000995078395', 'human_address': '{""address"": ""6033 Clinton Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11231""}'}",,,,,,,,,,13514.0,14.0,2.0,27.0,48.0
16,Family Support,Older Adult Program,"United Jewish Council of the East Side, Inc.",New York,"United Jewish Council of the East Side, Inc.",212.233.6037,Seniors,"{'latitude': '40.714361251677', 'longitude': '-73.986465388967', 'human_address': '{""address"": ""235 Broadway"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",10279.0,40.712362,-74.007817,1.0,1.0,21.0,1087167.0,1001237501.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,11723.0,70.0,4.0,32.0,4.0
17,Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"{'latitude': '40.64322700852', 'longitude': '-73.976448622106', 'human_address': '{""address"": ""415 Albermarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
18,Family Support,Older Adult Program,"Homecrest Community Services, Inc",Brooklyn,"Homecrest Community Services, Inc",718.376.4036,Seniors,"{'latitude': '40.601233507321', 'longitude': '-73.944368541175', 'human_address': '{""address"": ""1413 Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11229""}'}",,,,,,,,,,13512.0,32.0,2.0,8.0,36.0
19,Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"{'latitude': '40.64322700852', 'longitude': '-73.976448622106', 'human_address': '{""address"": ""415 Albermarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
20,Family Support,Parent Education and Family Support,Crown Heights Jewish Community Council,Brooklyn,Crown Heights Jewish Community Council,718.778.8808,,"{'latitude': '40.665762628592', 'longitude': '-73.942503354999', 'human_address': '{""address"": ""387 Kingston Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11225""}'}",11225.0,40.665708,-73.942532,9.0,35.0,333.0,3034315.0,3013000010.0,Crown Heights South                                                        ,17615.0,17.0,2.0,48.0,44.0
21,Family Support,Housing Assistance & Advocacy,Neighborhood Association for Inter-Cultural Affairs,Bronx,Neighborhood Association for Inter-Cultural Affairs,718.538.3344,Adults,"{'latitude': '40.837724263364', 'longitude': '-73.923332211412', 'human_address': '{""address"": ""1075 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",,,,,,,,,,10930.0,50.0,5.0,42.0,27.0
22,Family Support,Housing Assistance & Advocacy,AAFE Queens ,Queens,Asian Americans for Equality,212.680.1374,Adults,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04 39th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",11354.0,40.75909,-73.834194,7.0,20.0,871.0,4112274.0,4049730006.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0
23,Family Support,Housing Assistance & Advocacy,Asian Americns for Equality,Queens,Asian Americans for Equality                                ,718.961.0888,Adults,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04-39th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",,,,,,,,,,13832.0,22.0,3.0,3.0,67.0
24,Family Support,Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04 39th Ave"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",11354.0,40.75909,-73.834194,7.0,20.0,871.0,4112274.0,4049730006.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0
25,Family Support,Economic Development,NDA Center,Bronx,South Bronx Overall Economic Dev Corp.,718.585.2600,,"{'latitude': '40.848844606375', 'longitude': '-73.890217480844', 'human_address': '{""address"": ""647 180 Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10457""}'}",,,,,,,,,,10935.0,35.0,5.0,22.0,31.0
26,Family Support,Older Adult Program,Seniors Helping Seniors,New York,Seniors Helping Seniors,212.543.9383,Seniors,"{'latitude': '40.841127875341', 'longitude': '-73.939961696627', 'human_address': '{""address"": ""600 168 Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10032""}'}",,,,,,,,,,13090.0,47.0,4.0,39.0,21.0
27,Family Support,Older Adult Program,St. Andrews House ,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.822348788595', 'longitude': '-73.850239575603', 'human_address': '{""address"": ""2155 Virgil Place"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10473""}'}",10473.0,40.822318,-73.850263,9.0,18.0,86.0,2022369.0,2036120013.0,Soundview-Castle Hill-Clason Point-Harding Park                            ,11611.0,58.0,5.0,31.0,26.0
28,Family Support,Domestic Violence Program,Hispanic Employment Day-Women Working For A Better Community,Brooklyn,Hispanic Employment Day-Women Working For A Better Community,718.455.3988,,"{'latitude': '40.69536512253', 'longitude': '-73.917524657177', 'human_address': '{""address"": ""195 Linden Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11221""}'}",11221.0,40.69537,-73.917486,4.0,37.0,417.0,3076116.0,3033240019.0,Bushwick South                                                             ,18181.0,42.0,2.0,37.0,53.0
29,Family Support,HIV/AIDS Support Services,SEP at Bethseda Baptist Church ,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""179 09 Jamaica Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",11432.0,40.708222,-73.78166,12.0,27.0,468.0,4211561.0,4098950001.0,Jamaica                                                                    ,24340.0,25.0,3.0,24.0,65.0
30,Family Support,Housing Assistance & Advocacy,Townsend Office ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"{'latitude': '40.841513488175', 'longitude': '-73.91566203729', 'human_address': '{""address"": ""1477 Townsend Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",10452.0,40.841504,-73.915639,4.0,14.0,223.0,2098821.0,2028440021.0,West Concourse                                                             ,10930.0,50.0,5.0,29.0,27.0
31,Family Support,Fatherhood Initiative,Parkside Houses,Bronx,Friends of Island Academy,718.653.5301,16 to 24,"{'latitude': '40.868172164653', 'longitude': '-73.870440254466', 'human_address': '{""address"": ""2910 Bronx Park"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10467""}'}",10467.0,40.856629,-73.875725,27.0,15.0,334.0,,,park-cemetery-etc-Bronx                                                    ,11605.0,59.0,5.0,22.0,32.0
32,Family Support,Older Adult Program,Filomena Gardens,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.888362327284', 'longitude': '-73.86213681348', 'human_address': '{""address"": ""641 225 Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10466""}'}",,,,,,,,,,11275.0,29.0,5.0,2.0,30.0
33,Family Support,Older Adult Program,Gates Senior Center ,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"{'latitude': '40.695282660523', 'longitude': '-73.916429825963', 'human_address': '{""address"": ""1349 Gates Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11221""}'}",11221.0,40.695218,-73.916463,4.0,37.0,417.0,3391218.0,3033330033.0,Bushwick South                                                             ,18181.0,42.0,2.0,37.0,53.0
34,Family Support,Parent Education and Family Support,Dr. White Community Center ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.722.6023,,"{'latitude': '40.698288822006', 'longitude': '-73.983097400318', 'human_address': '{""address"": ""200 Gold Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11201""}'}",11201.0,40.698184,-73.983079,2.0,33.0,15.0,3000197.0,3001090001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,16865.0,68.0,2.0,38.0,54.0
35,Family Support,Housing Assistance & Advocacy,"Washington Heights- Inwood Coalition, Inc",New York,"Washington Heights- Inwood Coalition, Inc",212.781.6722,Adults,"{'latitude': '40.853602404382', 'longitude': '-73.932345278359', 'human_address': '{""address"": ""652 187th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",,,,,,,,,,13098.0,47.0,4.0,39.0,22.0
36,Family Support,Parent Education and Family Support,Citizens Advice Bureau Information & Referral ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,,"{'latitude': '40.845798371298', 'longitude': '-73.898324186812', 'human_address': '{""address"": ""2070 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10457""}'}",,,,,,,,,,10935.0,35.0,5.0,22.0,31.0
37,Family Support,Housing Assistance & Advocacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Adults,"{'latitude': '40.641104606526', 'longitude': '-74.003759923935', 'human_address': '{""address"": ""5000 8th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",11220.0,40.641036,-74.003809,7.0,38.0,108.0,3013418.0,3007940039.0,Sunset Park East                                                           ,18180.0,9.0,2.0,7.0,45.0
38,Family Support,Substance Abuse Education and Prevention,Chambers Memorial Social Change,New York,Chambers Memorial Social Change,212 410.5361,,"{'latitude': '40.803241247833', 'longitude': '-73.938765348533', 'human_address': '{""address"": ""129 123rd Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10035""}'}",,,,,,,,,,13093.0,7.0,4.0,36.0,16.0
39,Family Support,HIV/AIDS Support Services,ACQC Jamaica Service Center,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""88 10 178th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",11432.0,40.711425,-73.784972,12.0,27.0,462.0,4210382.0,4098330035.0,Jamaica                                                                    ,24340.0,25.0,3.0,24.0,65.0
40,Family Support,Adult Health Awareness & Prevention,"Kings Bay YM-YWHA, Inc.",Brooklyn,"Kings Bay YM-YWHA, Inc.",718.648.7703,,"{'latitude': '40.59874864679', 'longitude': '-73.941539069553', 'human_address': '{""address"": ""3495 Nostrand Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11229""}'}",11229.0,40.598817,-73.94157,15.0,46.0,570.0,3200300.0,3073630036.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,13512.0,32.0,2.0,8.0,36.0
41,Family Support,Housing Assistance & Advocacy,Polonians Organized to Minister to Our Community,Brooklyn,Polonians Organized to Minister to Our Community,718.326.9098,Adults,"{'latitude': '40.663788758199', 'longitude': '-73.994409627365', 'human_address': '{""address"": ""635 4th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11232""}'}",11232.0,40.663925,-73.994409,7.0,38.0,143.0,3009068.0,3006340001.0,Park Slope-Gowanus                                                         ,13515.0,9.0,2.0,7.0,45.0
42,Family Support,Older Adult Program,International Tower for Seniors,Jamaica,Conscientious Musical Revues,800.624.8474,Seniors,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""90 20 170th Street"", ""city"": ""Jamaica"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",11432.0,40.708578,-73.790579,12.0,27.0,460.0,4209721.0,4098020041.0,Jamaica                                                                    ,24340.0,25.0,3.0,24.0,65.0
43,Family Support,Housing Assistance & Advocacy,"Brooklyn Housing and Family Services, Inc.",Brooklyn,"Brooklyn Housing and Family Services, Inc.",718.435.7585,Adults,"{'latitude': '40.645480602026', 'longitude': '-73.976688033036', 'human_address': '{""address"": ""415 Albemarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
44,Family Support,Substance Abuse Education and Prevention,Community Health Action of Staten Island,Staten Island,Community Health Action of Staten Island,718.981.3366,,"{'latitude': '40.639659723835', 'longitude': '-74.073309252963', 'human_address': '{""address"": ""56 Bay Street Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10301""}'}",10301.0,40.640624,-74.075704,1.0,49.0,3.0,5000035.0,5000050103.0,West New Brighton-New Brighton-St. George                                  ,10369.0,4.0,1.0,13.0,74.0
45,Family Support,Older Adult Program,Agudath Israel of America / SBCO,Brooklyn,Agudath Israel of America / SBCO,718.435.1300,Seniors,"{'latitude': '40.630206116961', 'longitude': '-73.97835931751', 'human_address': '{""address"": ""4520 18th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11204""}'}",11204.0,40.630165,-73.978416,12.0,44.0,476.0,3128549.0,3054350051.0,Borough Park                                                               ,16867.0,2.0,2.0,18.0,39.0
46,Family Support,Older Adult Program,YM-YWHA of Washington Heights Inwood,New York,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"{'latitude': '40.860035619978', 'longitude': '-73.929072095394', 'human_address': '{""address"": ""54 Nagle Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10040""}'}",10040.0,40.859993,-73.929129,12.0,10.0,285.0,1064146.0,1021720064.0,Washington Heights North                                                   ,13098.0,47.0,4.0,39.0,22.0
47,Family Support,Substance Abuse Education and Prevention,Teen Center,New York,"El Barrio's Operation Fightback, Inc.",212.410.7900,,"{'latitude': '40.799741358539', 'longitude': '-73.935497061589', 'human_address': '{""address"": ""182 2nd Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10035""}'}",10003.0,40.730696,-73.986134,3.0,2.0,40.0,1006473.0,1004530005.0,East Village                                                               ,13093.0,7.0,4.0,35.0,16.0
48,Family Support,Fatherhood Initiative,The Fathers Center ,New York ,Legal Information for Families Today (LIFT),646.613.9633 ext. 202,16 to 24,"{'latitude': '40.716960292342', 'longitude': '-74.003921229556', 'human_address': '{""address"": ""350 Broadway"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10013""}'}",10013.0,40.716954,-74.003943,1.0,1.0,31.0,1001838.0,1001717503.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12076.0,56.0,4.0,32.0,2.0
49,Family Support,Substance Abuse Education and Prevention,Triboro ,New York,"El Barrio's Operation Fightback, Inc.",212.410.7900,,"{'latitude': '40.801991190212', 'longitude': '-73.934133840082', 'human_address': '{""address"": ""2415 Second Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10035""}'}",10035.0,40.802,-73.934121,11.0,8.0,194.0,1054650.0,1017880029.0,East Harlem North                                                          ,13093.0,7.0,4.0,35.0,16.0
50,Family Support,Older Adult Program,The Baruch Elder Services Team (BEST) Program ,New York,"Grand Street Settlement, Inc.",212.982.4171,Seniors,"{'latitude': '40.717388686578', 'longitude': '-73.980017832764', 'human_address': '{""address"": ""72 Columbia Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",10002.0,40.717007,-73.980268,3.0,2.0,1002.0,1078043.0,1003230001.0,Lower East Side                                                            ,11723.0,70.0,4.0,50.0,4.0
51,Family Support,Parent Education and Family Support,Hispanic Employment Day-Women Working For A Better Community,Brooklyn,Hispanic Employment Day-Women Working For A Better Community,718.455.3988,,"{'latitude': '40.69536512253', 'longitude': '-73.917524657177', 'human_address': '{""address"": ""195 Linden Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11221""}'}",11221.0,40.69537,-73.917486,4.0,37.0,417.0,3076116.0,3033240019.0,Bushwick South                                                             ,18181.0,42.0,2.0,37.0,53.0
52,Family Support,Housing Assistance & Advocacy,Brooklyn Neighborhood Improvement Association,Brooklyn,Brooklyn Neighborhood Improvement Association,718.773.4116,Adults,"{'latitude': '40.670470593603', 'longitude': '-73.929356130187', 'human_address': '{""address"": ""1482 St Johns Place"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11213""}'}",11213.0,40.670505,-73.92964,8.0,41.0,349.0,3037114.0,3013850028.0,Crown Heights North                                                        ,17615.0,16.0,2.0,17.0,49.0
53,Family Support,Older Adult Program,"Fort Washington Houses Services for the Elderly, Inc.",New York,"Fort Washington Houses Services for the Elderly, Inc.",212.927.5600,Seniors,"{'latitude': '40.839043257819', 'longitude': '-73.943522762068', 'human_address': '{""address"": ""99 Fort Washington Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10032""}'}",10032.0,40.83851,-73.943738,12.0,7.0,247.0,1063346.0,1021360235.0,Washington Heights South                                                   ,13090.0,47.0,4.0,23.0,21.0
