,program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
54,Family Support,Housing Assistance & Advocacy,Asian Americns for Equality,Manhattan,Asian Americans for Equality                                ,212.979.8381,Adults,"{'latitude': '40.716121467931', 'longitude': '-73.985831470246', 'human_address': '{""address"": ""108 111 Norfolk Street"", ""city"": ""Manhattan"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",,,,,,,,,,11723.0,70.0,4.0,32.0,4.0
55,Family Support,Housing Assistance & Advocacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Adults,"{'latitude': '40.641094427669', 'longitude': '-74.003771655499', 'human_address': '{""address"": ""5002 8th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",11220.0,40.641028,-74.003816,7.0,38.0,108.0,3013418.0,3007940039.0,Sunset Park East                                                           ,18180.0,9.0,2.0,7.0,45.0
56,Family Support,Older Adult Program,RAIN Inwood Senior Center ,New York,"Regional Aid For Interim Needs, Inc. (R.A.I.N.)",718.892.5520,Seniors,"{'latitude': '40.865986202427', 'longitude': '-73.922786931467', 'human_address': '{""address"": ""84 Vermilyea Ave"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10034""}'}",10034.0,40.865838,-73.923128,12.0,10.0,291.0,1064905.0,1022340029.0,Marble Hill-Inwood                                                         ,13092.0,47.0,4.0,39.0,22.0
57,Family Support,Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,"{'latitude': '40.751630739367', 'longitude': '-73.883612545283', 'human_address': '{""address"": ""93 03 Roosevelt Ave"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11372""}'}",11372.0,40.748737,-73.873602,3.0,21.0,273.0,4448464.0,4014810051.0,Jackson Heights                                                            ,14783.0,65.0,3.0,5.0,73.0
58,Family Support,Health Stat Initiative,"Jewish Community Center of Staten Island, Inc.",Staten Island,"Jewish Community Center of Staten Island, Inc.",718. 981.1400,All Ages,"{'latitude': '40.612902589963', 'longitude': '-74.12559801832', 'human_address': '{""address"": ""1859 Victory Blvd Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10314""}'}",10314.0,40.612877,-74.125669,1.0,50.0,151.0,5010522.0,5003730043.0,Westerleigh                                                                ,10700.0,4.0,1.0,14.0,74.0
59,Family Support,Older Adult Program,Project Care Volunteer Services for the Elderly & Homebound ,Brooklyn,Council of Jewish Organizations of Flatbush,718.377.2900,Seniors,"{'latitude': '40.621929510239', 'longitude': '-73.965511060187', 'human_address': '{""address"": ""1658 Coney Island"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11230""}'}",,,,,,,,,,13513.0,2.0,2.0,18.0,39.0
60,Family Support,Parent Education and Family Support,Latin American Intergration Center,Staten Island,Latin American Intergration Center,718.565.8500,,"{'latitude': '40.630833311108', 'longitude': '-74.137734298699', 'human_address': '{""address"": ""463 Richmond Avenue Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10302""}'}",,,,,,,,,,10370.0,4.0,1.0,13.0,75.0
61,Family Support,Substance Abuse Education and Prevention,Public School 19 - Marino P. Jeantet Elementary School ,Queens,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,,"{'latitude': '40.749678220374', 'longitude': '-73.853040688577', 'human_address': '{""address"": ""98 02 Roosevelt Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11368""}'}",11368.0,40.749381,-73.867354,4.0,21.0,409.0,4437176.0,4016070001.0,North Corona                                                               ,14510.0,66.0,3.0,21.0,68.0
62,Family Support,Housing Assistance & Advocacy,South Bronx Action Group,Bronx,South Bronx Action Group,718.993.5869,Adults,"{'latitude': '40.816195064917', 'longitude': '-73.918501181484', 'human_address': '{""address"": ""384 149th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",,,,,,,,,,10933.0,49.0,5.0,43.0,23.0
63,Family Support,Older Adult Program,Parkchester Enhancement Program for Seniors,Bronx,Beth Abraham Health Services,718.409.1619,Seniors,"{'latitude': '40.836913904113', 'longitude': '-73.857586288283', 'human_address': '{""address"": ""1525 Unionport Road"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10462""}'}",10462.0,40.836585,-73.856898,9.0,18.0,212.0,2096653.0,2039387501.0,Parkchester                                                                ,11271.0,58.0,5.0,31.0,26.0
64,Family Support,Fatherhood Initiative,"Claremont Neighborhood Centers, Inc. ",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,16 to 24,"{'latitude': '40.833009438875', 'longitude': '-73.905735217316', 'human_address': '{""address"": ""489 169th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",,,,,,,,,,10934.0,34.0,5.0,42.0,25.0
65,Family Support,Health Stat Initiative,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.756.7202,All Ages,"{'latitude': '40.678130438169', 'longitude': '-73.919776475504', 'human_address': '{""address"": ""1960 Fulton\xa0 St"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11233""}'}",,,,,,,,,,13516.0,69.0,2.0,17.0,52.0
66,Family Support,HIV/AIDS Support Services,National Council for Negro Women of Greater New York,Queens,National Council for Negro Women of Greater New York,718.657.8585,MS/HS,"{'latitude': '40.676945262114', 'longitude': '-73.775306901692', 'human_address': '{""address"": ""114 02 Guy R Brewer Boulevard"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11434""}'}",11434.0,40.688615,-73.785593,12.0,28.0,276.0,4264631.0,4122000052.0,Baisley Park                                                               ,24669.0,41.0,3.0,46.0,71.0
67,Family Support,Economic Development,Local Development Corporation of East New York,Brooklyn,Local Development Corporation of East New York,718.385.6700,,"{'latitude': '40.678429517633', 'longitude': '-73.896811496066', 'human_address': '{""address"": ""80 Jamaica Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",11207.0,40.678267,-73.897235,5.0,37.0,1198.0,3083109.0,3036600009.0,East New York                                                              ,17214.0,45.0,2.0,37.0,47.0
68,Family Support,Fatherhood Initiative,Forestdale at Forest Hills Campus,Queens,"Forestdale, Inc",718.263.0740,16 to 24,"{'latitude': '40.72070726303', 'longitude': '-73.846284296083', 'human_address': '{""address"": ""67 35 112 Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11375""}'}",11375.0,40.729354,-73.842599,6.0,29.0,747.0,4441126.0,4022060006.0,Forest Hills                                                               ,14786.0,40.0,3.0,28.0,70.0
69,Family Support,Fatherhood Initiative,FRIENDS Program,Bronx,Visiting Nurse Service of New York,212.794.9200,16 to 24,"{'latitude': '40.813535754971', 'longitude': '-73.905355252043', 'human_address': '{""address"": ""389 391 East 153rd Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",,,,,,,,,,10933.0,49.0,5.0,35.0,23.0
70,Family Support,Fatherhood Initiative,Coalition for Hispanic Family Services ,Brooklyn,Coalition for Hispanic Family Services,718.497.6090,16 to 24,"{'latitude': '40.700089964438', 'longitude': '-73.912032912223', 'human_address': '{""address"": ""315 Wyckoff Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11237""}'}",11237.0,40.700045,-73.911981,4.0,37.0,439.0,3076376.0,3033380001.0,Bushwick North                                                             ,13828.0,42.0,2.0,37.0,53.0
71,Family Support,Older Adult Program,Greater Chinatown Comm. Assoc,Chinatown,Greater Chinatown Community Association                     ,212.374.1311,Seniors,"{'latitude': '40.714478163541', 'longitude': '-73.999235761783', 'human_address': '{""address"": ""105 Mosco Street"", ""city"": ""Chinatown"", ""state"": ""NEW YORK"", ""zip"": ""10013""}'}",10013.0,40.714459,-73.999347,3.0,1.0,29.0,1001820.0,1001640044.0,Chinatown                                                                  ,12076.0,70.0,4.0,32.0,2.0
72,Family Support,Older Adult Program,Caledonian Health Campus Center Brooklyn Hospital,Brooklyn,"Diaspora Community Services, Inc",718.399.0200,Seniors,"{'latitude': '40.653180293946', 'longitude': '-73.966125047904', 'human_address': '{""address"": ""100 Parkside Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11226""}'}",11226.0,40.653303,-73.9659,14.0,40.0,50804.0,,,Flatbush                                                                   ,13510.0,60.0,2.0,11.0,43.0
73,Family Support,Substance Abuse Education and Prevention,"Church Avenue Merchants Block Association, Inc.",Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,,"{'latitude': '40.682484542944', 'longitude': '-73.953698855442', 'human_address': '{""address"": ""1195 Bedford Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11216""}'}",11216.0,40.682484,-73.953727,3.0,36.0,245.0,3322554.0,3018320097.0,Bedford                                                                    ,17618.0,69.0,2.0,49.0,51.0
74,Family Support,Parent Education and Family Support,Make the Road New York -Staten Island,Staten Island,Make the Road New York,718.727.1222,17 and up,"{'latitude': '40.630934529097', 'longitude': '-74.139014649681', 'human_address': '{""address"": ""479 Port Richmond Avenue Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10302""}'}",10302.0,40.630818,-74.139187,1.0,49.0,213.0,5024824.0,5010490005.0,Port Richmond                                                              ,10370.0,4.0,1.0,13.0,75.0
75,Family Support,HIV/AIDS Support Services,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,,"{'latitude': '40.745702449808', 'longitude': '-73.938669029252', 'human_address': '{""address"": ""10 25 41st Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11101""}'}",11101.0,40.755488,-73.945328,1.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   ,16858.0,53.0,3.0,33.0,66.0
76,Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation                  ,212.822.8336,18 and up,"{'latitude': '40.847051676059', 'longitude': '-73.937044724943', 'human_address': '{""address"": ""76 Wadswortth Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",,,,,,,,,,13091.0,47.0,4.0,39.0,21.0
77,Family Support,Older Adult Program,Henry Street Settlement Senior Services Center ,New York,Henry Street Settlement,212.766.9200,Seniors,"{'latitude': '40.713290169435', 'longitude': '-73.983016878047', 'human_address': '{""address"": ""334 Madison Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",10002.0,40.713266,-73.983237,3.0,2.0,202.0,1077526.0,1002600001.0,Lower East Side                                                            ,11723.0,70.0,4.0,50.0,4.0
78,Family Support,Substance Abuse Education and Prevention,,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718 287.2600,,"{'latitude': '40.656529948508', 'longitude': '-73.959876532873', 'human_address': '{""address"": ""19 Winthrop Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11225""}'}",11225.0,40.656537,-73.959418,9.0,40.0,79601.0,3115690.0,3050450100.0,Prospect Lefferts Gardens-Wingate                                          ,13509.0,17.0,2.0,11.0,44.0
79,Family Support,Economic Development,South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.585.2600,,"{'latitude': '40.815944415254', 'longitude': '-73.916415911483', 'human_address': '{""address"": ""555 Bergen Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",10455.0,40.815959,-73.916354,1.0,17.0,71.0,2097027.0,2022940002.0,Melrose South-Mott Haven North                                             ,10933.0,49.0,5.0,43.0,23.0
80,Family Support,Adult Health Awareness & Prevention,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,,"{'latitude': '40.575793969704', 'longitude': '-73.959507450797', 'human_address': '{""address"": ""3300 Coney Island Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11235""}'}",11235.0,40.575607,-73.959463,13.0,48.0,36002.0,3326880.0,3086930001.0,Brighton Beach                                                             ,13826.0,21.0,2.0,15.0,35.0
81,Family Support,Housing Assistance & Advocacy,CAMBA's Park Slope Women's Shelter,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,Adults,"{'latitude': '40.662725395196', 'longitude': '-73.981772543316', 'human_address': '{""address"": ""1402 Eighth Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11215""}'}",11215.0,40.66265,-73.981819,6.0,39.0,149.0,3026581.0,3011020012.0,Park Slope-Gowanus                                                         ,17617.0,14.0,2.0,27.0,50.0
82,Family Support,Older Adult Program,Baychester Community Center ,Bronx,"Aging In America Community Services, Inc",718 409-7979,Seniors,"{'latitude': '40.884596367023', 'longitude': '-73.842732985462', 'human_address': '{""address"": ""1220 229th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10466""}'}",,,,,,,,,,11275.0,29.0,5.0,2.0,30.0
83,Family Support,Older Adult Program,Webster Terrace,Brooklyn,Agudath Israel of America / SBCO,718.435.1300,Seniors,"{'latitude': '40.631730651367', 'longitude': '-73.972211605326', 'human_address': '{""address"": ""680 Ocean Parkway"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11230""}'}",11230.0,40.631868,-73.971938,14.0,44.0,480.0,3127822.0,3054200050.0,Flatbush                                                                   ,13513.0,60.0,2.0,18.0,43.0
84,Family Support,Health Stat Initiative,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.756.7200,All Ages,"{'latitude': '40.678130438169', 'longitude': '-73.919776475504', 'human_address': '{""address"": ""1958 Fulton\xa0 St"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11233""}'}",,,,,,,,,,13516.0,69.0,2.0,17.0,52.0
85,Family Support,Older Adult Program,Community Service Center Area IV,Brooklyn,Community Service Center Area IV,718.574.0873,Seniors,"{'latitude': '40.691790929942', 'longitude': '-73.927967119043', 'human_address': '{""address"": ""518 Van Buren Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11221""}'}",11221.0,40.691765,-73.928327,3.0,36.0,387.0,3043888.0,3016170040.0,Stuyvesant Heights                                                         ,18181.0,69.0,2.0,49.0,52.0
86,Family Support,Housing Assistance & Advocacy,Agudath Israel of America /SBCO,Brooklyn,Agudath Israel of America /SBCO,718.435.1300,Adults,"{'latitude': '40.630206116961', 'longitude': '-73.97835931751', 'human_address': '{""address"": ""4520 18th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11204""}'}",11204.0,40.630165,-73.978416,12.0,44.0,476.0,3128549.0,3054350051.0,Borough Park                                                               ,16867.0,2.0,2.0,18.0,39.0
87,Family Support,Fatherhood Initiative,Allen AME Multi-Center (Annex),Queens,"Forestdale, Inc",718.263.0740,16 to 24,"{'latitude': '40.676945262114', 'longitude': '-73.775306901692', 'human_address': '{""address"": ""1114 02"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11434""}'}",,,,,,,,,,24669.0,41.0,3.0,46.0,71.0
88,Family Support,Older Adult Program,Soundview Houses Senior Center ,Bronx,Conscientious Musical Revues,800.624.8474,Seniors,"{'latitude': '40.818336260511', 'longitude': '-73.869076701472', 'human_address': '{""address"": ""1674 Seward Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10473""}'}",10473.0,40.818255,-73.869832,9.0,18.0,20.0,2092638.0,2035510001.0,Soundview-Castle Hill-Clason Point-Harding Park                            ,11611.0,58.0,5.0,31.0,26.0
89,Family Support,Health Stat Initiative,The Children's Aid Society,Bronx,The Children's Aid Society,718.617.8595,All Ages,"{'latitude': '40.843090348041', 'longitude': '-73.87860282506', 'human_address': '{""address"": ""1338 Southern Blvd"", ""city"": ""nbsp; Bx Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10460""}'}",,,,,,,,,,11269.0,35.0,5.0,22.0,31.0
90,Family Support,Housing Assistance & Advocacy,West Bronx Housing & Neighborhood Resource Center,Bronx,West Bronx Housing & Neighborhood Resource Center,718.798.0929,Adults,"{'latitude': '40.875385991437', 'longitude': '-73.87947666045', 'human_address': '{""address"": ""3176 Bainbridge"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10467""}'}",,,,,,,,,,11605.0,24.0,5.0,40.0,34.0
91,Family Support,Older Adult Program,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"{'latitude': '40.616970915723', 'longitude': '-73.963785333505', 'human_address': '{""address"": ""1658 Coney Island Ave"", ""city"": ""Flatbush"", ""state"": ""NEW YORK"", ""zip"": ""11230""}'}",11230.0,40.616964,-73.963703,12.0,44.0,454.0,3173147.0,3065730016.0,Ocean Parkway South                                                        ,13513.0,2.0,2.0,18.0,39.0
92,Family Support,HIV/AIDS Support Services,East Harlem Neighborhood Based Alliance Corporation,New York,East Harlem Neighborhood Based Alliance Corporation,212.360.1100,,"{'latitude': '40.801631007365', 'longitude': '-73.935035566046', 'human_address': '{""address"": ""240 123 Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10035""}'}",,,,,,,,,,13093.0,7.0,4.0,35.0,16.0
93,Family Support,Housing Assistance & Advocacy,"Pueblo En Marcha, Inc.",Bronx,"Pueblo En Marcha, Inc.",718.665.7375,Adults,"{'latitude': '40.813555413009', 'longitude': '-73.919621869089', 'human_address': '{""address"": ""401 145th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10454""}'}",,,,,,,,,,10932.0,49.0,5.0,35.0,23.0
94,Family Support,Housing Assistance & Advocacy,Boro Park Jewish Community Council,Brooklyn,Boro Park Jewish Community Council,718.972.6600,Adults,"{'latitude': '40.636670213094', 'longitude': '-73.990459280846', 'human_address': '{""address"": ""4608 13th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11219""}'}",11219.0,40.636595,-73.990502,12.0,44.0,222.0,3328605.0,3056220038.0,Borough Park                                                               ,17621.0,2.0,2.0,18.0,39.0
95,Family Support,Health Stat Initiative,The Children's Aid Society,New York,The Children's Aid Society,212.503.6820,All Ages,"{'latitude': '40.752942166734', 'longitude': '-73.973641056829', 'human_address': '{""address"": ""150 45th St"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10017""}'}",,,,,,,,,,12079.0,71.0,4.0,51.0,9.0
96,Family Support,Health Stat Initiative,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.756.7201,All Ages,"{'latitude': '40.678130438169', 'longitude': '-73.919776475504', 'human_address': '{""address"": ""1959 Fulton\xa0 St"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11233""}'}",,,,,,,,,,13516.0,69.0,2.0,17.0,52.0
97,Family Support,Older Adult Program,Berkshire Farm Center and Services for Youth,Brooklyn,Berkshire Farm Center and Services for Youth,518.781.4567,Seniors,"{'latitude': '40.679753480485', 'longitude': '-73.965983579231', 'human_address': '{""address"": ""732 Dean Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11238""}'}",11238.0,40.67982,-73.966232,8.0,35.0,203.0,3027932.0,3011380132.0,Prospect Heights                                                           ,13829.0,16.0,2.0,48.0,49.0
98,Family Support,Fatherhood Initiative,Midtown Community Court,New York ,Fund for the City of New York/Center for Court Innovation,646.264.1329,16 to 24,"{'latitude': '40.765190932773', 'longitude': '-73.985242311007', 'human_address': '{""address"": ""314 54 Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10019""}'}",,,,,,,,,,12081.0,12.0,4.0,10.0,10.0
99,Family Support,HIV/AIDS Support Services,The Fathers Center ,Brooklyn,The Family Center,212 766-4522,MS/HS,"{'latitude': '40.678763354677', 'longitude': '-73.949701201332', 'human_address': '{""address"": ""584 Nostrand Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11215""}'}",11216.0,40.678766,-73.949674,3.0,36.0,247.0,3053936.0,3018660028.0,Crown Heights North                                                        ,17618.0,69.0,2.0,49.0,51.0
100,Family Support,Older Adult Program,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,Seniors,"{'latitude': '40.573273749724', 'longitude': '-74.002490640031', 'human_address': '{""address"": ""3001 37th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11224""}'}",,,,,,,,,,18184.0,21.0,2.0,45.0,35.0
101,Family Support,Housing Assistance & Advocacy,Bedford Park ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"{'latitude': '40.867850652405', 'longitude': '-73.899511666178', 'human_address': '{""address"": ""2925 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10468""}'}",,,,,,,,,,11606.0,24.0,5.0,29.0,34.0
102,Family Support,Older Adult Program,"Aging In America Community Services, Inc",Bronx,"Aging In America Community Services, Inc",718.409.7979,Seniors,"{'latitude': '40.85710649549', 'longitude': '-73.843675159553', 'human_address': '{""address"": ""1500 Pelham Parkway"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10461""}'}",10461.0,40.857026,-73.843125,11.0,13.0,296.0,2047109.0,2042220005.0,Pelham Parkway                                                             ,11270.0,59.0,5.0,12.0,32.0
103,Family Support,Older Adult Program,"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.",Queens,"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.",718.723.1119,Seniors,"{'latitude': '40.676945262114', 'longitude': '-73.775306901692', 'human_address': '{""address"": ""117 08 Merrick Boulevard"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11434""}'}",11434.0,40.686925,-73.774756,12.0,27.0,282.0,4267990.0,4123670234.0,St. Albans                                                                 ,24669.0,41.0,3.0,46.0,71.0
104,Family Support,Older Adult Program,"Council of Neighborhood Organizations, Inc.",Brooklyn,"Council of Neighborhood Organizations, Inc.",718.853.0100,Seniors,"{'latitude': '40.64308126028', 'longitude': '-73.990561184992', 'human_address': '{""address"": ""3911 Fort Hamilton Parkway"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.643053,-73.990649,12.0,39.0,224.0,3135280.0,3055850006.0,Borough Park                                                               ,17620.0,2.0,2.0,27.0,39.0
105,Family Support,Older Adult Program,"St Matthews & St. Timonthys Neighborhood Center, Inc.",New York,"St. Matthews & St. Timothys Neighborhood Center, Inc.",212.362.6750,Seniors,"{'latitude': '40.788712841075', 'longitude': '-73.977363025007', 'human_address': '{""address"": ""263 86th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10024""}'}",,,,,,,,,,12421.0,20.0,4.0,19.0,15.0
106,Family Support,Housing Assistance & Advocacy,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation,718.859.3800,Adults,"{'latitude': '40.63599627408', 'longitude': '-73.962302128878', 'human_address': '{""address"": ""1616 Newkirk Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11226""}'}",11226.0,40.63604,-73.962241,14.0,40.0,518.0,3121203.0,3052370006.0,Flatbush                                                                   ,13510.0,60.0,2.0,11.0,43.0
107,Family Support,Fatherhood Initiative,Washington Houses Community Center ,New York ,Union Settlement Association,212.828.6113,16 to 24,"{'latitude': '40.789924588094', 'longitude': '-73.944769131203', 'human_address': '{""address"": ""237 104th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",,,,,,,,,,12426.0,7.0,4.0,35.0,14.0
