,contract_type,provider_id,program_name,sponsor_name,program_address,program_borough,program_zipcode,program_phone
112,NEIGHBORHOOD SENIOR CENTE,12R01,BRONX RIVER NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1619 EAST 174TH ST,BRONX,10472,718-617-6334
113,NEIGHBORHOOD SENIOR CENTE,13201,THROGS NECK NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2705 SCHLEY AVENUE,BRONX,10465,718-823-1771
114,NEIGHBORHOOD SENIOR CENTE,13D01,DREISER NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,177 DREISER LOOP,BRONX,10475,718-320-1345
115,NEIGHBORHOOD SENIOR CENTE,13H01,Sister Annunciata Bethell Neighborhood Senior Cent,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZ,243 EAST 204TH ST,BRONX,10458,718-365-3725
116,NEIGHBORHOOD SENIOR CENTE,13J01,Bronx House Weinberg Neighborhood Senior Center,BRONX HOUSE INC  ,990 PELHAM PARKWAY SOUTH,BRONX,10461,718-792-1800
117,NEIGHBORHOOD SENIOR CENTE,13K01,Heights Neighborhood Senior Center,BRONXWORKS INC,200 WEST TREMONT AVENUE,BRONX,10453,718-299-0300
118,NEIGHBORHOOD SENIOR CENTE,13L01,E. Roberts Moore Neighborhood Senior Center,BRONXWORKS INC,515 JACKSON AVENUE,BRONX,10455,718-665-5559
119,NEIGHBORHOOD SENIOR CENTE,13M01,East Concourse Neighborhood Senior Center,BRONXWORKS INC,236 EAST TREMONT AVENUE,BRONX,10457,718-731-6300
120,NEIGHBORHOOD SENIOR CENTE,13N01,Marble Hill Neighborhood Senior Center,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,5365 BROADWAY,BRONX,10463,718-562-8551
121,NEIGHBORHOOD SENIOR CENTE,13P01,Mosholu Montefiore Neighborhood Senior Center,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3450 DEKALB AVENUE,BRONX,10467,718-798-6601
122,NEIGHBORHOOD SENIOR CENTE,13Q01,Mitchell Neighborhood Senior Center,EAST SIDE HOUSE INC  ,188 LINCOLN AVENUE,BRONX,10454,718-665-2168
123,NEIGHBORHOOD SENIOR CENTE,13R01,Melrose Mott Haven Neighborhood Senior Center,EAST SIDE HOUSE INC  ,372 EAST 152 STREET,BRONX,10455,718-665-2280
124,NEIGHBORHOOD SENIOR CENTE,13S01,Hope of Israel Neighborhood Senior Center,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC ,1068 GERARD AVENUE,BRONX,10452,718-665-8400
125,NEIGHBORHOOD SENIOR CENTE,13T01,Bronx River Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1619 EAST 174TH ST,BRONX,10472,718-617-6334
126,NEIGHBORHOOD SENIOR CENTE,13U01,James Monroe Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1776 STORY AVENUE,BRONX,10472,718-893-3484
127,NEIGHBORHOOD SENIOR CENTE,13V01,Arturo Schomburg Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1315 FRANKLIN AVENUE,BRONX,10456,718-842-6880
128,NEIGHBORHOOD SENIOR CENTE,13X01,Betances Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,607 CONCORD AVE,BRONX,10455,718-292-4922
129,NEIGHBORHOOD SENIOR CENTE,13Y01,Van Cortlandt Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3880 SEDGWICK AVENUE,BRONX,10463,718-549-4700
130,NEIGHBORHOOD SENIOR CENTE,13Z01,Coop City Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2049 BARTOW AVENUE,BRONX,10475,718-320-2066
131,NEIGHBORHOOD SENIOR CENTE,14A01,Concourse Plaza Wellness Neighborhood Senior Cente,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-588-8200
132,NEIGHBORHOOD SENIOR CENTE,14B01,Thomas Guess Neighborhood Senior Center,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,2070 CLINTON AVENUE,BRONX,10457,718-584-2357
133,NEIGHBORHOOD SENIOR CENTE,14C01,Bay Eden Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1220 EAST 229TH STREET,BRONX,10466,718-882-3815
134,NEIGHBORHOOD SENIOR CENTE,14D01,Dreiser Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,177 DREISER LOOP,BRONX,10475,718-320-1345
135,NEIGHBORHOOD SENIOR CENTE,14E01,Throggs Neck Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2705 SCHLEY AVENUE,BRONX,10465,718-823-1771
136,NEIGHBORHOOD SENIOR CENTE,14F01,Kips Bay Castle Hill Neighborhood Senior Center,KIPS BAY BOYS AND GIRLS CLUB  ,625 CASTLE HILL AVENUE,BRONX,10473,718-319-9156
137,NEIGHBORHOOD SENIOR CENTE,14H01,Neighborhood SHOPP Leon Neighborhood Senior Center,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,735 EAST 152ND STREET,BRONX,10455,718-708-6897
138,NEIGHBORHOOD SENIOR CENTE,14J01,Northeast Bronx Neighborhood Senior Center,NORTHEAST BRONX SENIOR CITIZENS INC ,2968 BRUCKNER BLVD,BRONX,10465,718-892-6090
139,NEIGHBORHOOD SENIOR CENTE,14K01,PSS Parkside Neighborhood Senior Center,PRESBYTERIAN SENIOR SERVICES  ,644 ADEE AVENUE,BRONX,10467,718-881-7780
140,NEIGHBORHOOD SENIOR CENTE,14L01,PSS Andrew Jackson Neighborhood Senior Center,PRESBYTERIAN SENIOR SERVICES  ,325 EAST 156TH STREET,BRONX,10451,718-585-1640
141,NEIGHBORHOOD SENIOR CENTE,14M01,PSS Davidson Neighborhood Senior Center,PRESBYTERIAN SENIOR SERVICES  ,950 UNION AVENUE,BRONX,10459,718-328-2811
142,NEIGHBORHOOD SENIOR CENTE,14N01,PSS Highbridge Neighborhood Senior Center,PRESBYTERIAN SENIOR SERVICES  ,1181 NELSON AVENUE,BRONX,10452,718-588-3004
143,NEIGHBORHOOD SENIOR CENTE,14P01,RAIN Gunhill Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,3377 WHITE PLAINS ROAD,BRONX,10467,718-881-5589
144,NEIGHBORHOOD SENIOR CENTE,14Q01,RAIN Eastchester Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,1246 BURKE AVENUE,BRONX,10469,718-882-8513
145,NEIGHBORHOOD SENIOR CENTE,14R01,RAIN Middletown Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,3035 MIDDLETOWN ROAD,BRONX,10461,718-822-0486
146,NEIGHBORHOOD SENIOR CENTE,14S01,RAIN Nereid Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,720 NEREID AVENUE,BRONX,10466,718-994-0132
147,NEIGHBORHOOD SENIOR CENTE,14T01,RAIN Parkchester Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,1380 METROPOLITAN AVENUE,BORNX,10462,718-597-9220
148,NEIGHBORHOOD SENIOR CENTE,14U01,RAIN Boston Road Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,2424 BOSTON ROAD,BRONX,10467,718-547-8827
149,NEIGHBORHOOD SENIOR CENTE,14V01,RAIN Boston East Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BOSTON ROAD,BRONX,10469,718-654-9200
150,NEIGHBORHOOD SENIOR CENTE,14X01,RAIN Boston Secor Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,3540 BIVONA STREET,BRONX,10475,718-671-8550
151,NEIGHBORHOOD SENIOR CENTE,14Y01,Riverdale Neighborhood Senior Center,RIVERDALE SENIOR SERVICES INC  ,2600 NETHERLAND AVENUE,BRONX,10463,718-884-5900
152,NEIGHBORHOOD SENIOR CENTE,14Z01,SEBCO Neighborhood Senior Center,SEBCO DEVELOPMENT INC  ,887 SOUTHERN BLVD,BRONX,10459,718-617-3465
153,NEIGHBORHOOD SENIOR CENTE,15601,RAIN PARKCHESTER NEIGHBORHOOD SENIOR C,REGIONAL AID FOR INTERIM NEEDS INC ,1380 METROPOLITAN AVENUE,BRONX,10462,718-597-9220
154,NEIGHBORHOOD SENIOR CENTE,15B01,William Hodson Neighborhood Senior Center,WILLIAM HODSON COMMUNITY CENTER INC ,1320 WEBSTER AVENUE,BRONX,10456,718-538-1515
155,NEIGHBORHOOD SENIOR CENTE,15C01,Riverdale Y Senior Center,YM YWHA OF THE BRONX dba RIVERDALE YM YWHA ,5625 ARLINGTON AVENUE,BRONX,10471,718-548-8200
156,NEIGHBORHOOD SENIOR CENTE,15D01,PSS City Island Neighborhood Senior Center,PRESBYTERIAN SENIOR SERVICES  ,116 CITY ISLAND AVENUE,BRONX,10464,718-885-0727
157,NEIGHBORHOOD SENIOR CENTE,15F01,RAIN Mt. Carmel Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,2405  SOUTHERN BLVD,BRONX,10458,718-733-8852
158,NEIGHBORHOOD SENIOR CENTE,17601,HEIGHTS NEIGHBORHOOD SENIOR CENTER,BRONXWORKS INC,200 WEST TREMONT AVENUE,BRONX,10453,718-299-0300
159,NEIGHBORHOOD SENIOR CENTE,17801,HOPE OF ISRAEL NEIGHBORHOOD SENIOR CTR,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC ,1068 GERARD AVENUE,BRONX,10452,718-665-8400
160,NEIGHBORHOOD SENIOR CENTE,18401,NORTHEAST BRONX NEIGHBORHOOD SENIOR CT,NORTHEAST BRONX SENIOR CITIZENS INC ,2968 BRUCKNER BLVD.,BRONX,10465,718-892-6090
161,NEIGHBORHOOD SENIOR CENTE,18801,RIVERDALE NEIGHBORHOOD SENIOR CENTER,RIVERDALE SENIOR SERVICES INC  ,2600 NETHERLAND AVENUE,BRONX,10463,718-884-5900
162,NEIGHBORHOOD SENIOR CENTE,18901,SEBCO NEIGHBORHOOD SENIOR CENTER,SEBCO DEVELOPMENT INC  ,887 SOUTHERN BLVD.,BRONX,10459,718-617-3465
163,NEIGHBORHOOD SENIOR CENTE,1A601,PSS HIGHBRIDGE NEIGHBORHOOD SENIOR CENTE,PRESBYTERIAN SENIOR SERVICES  ,1181 NELSON AVENUE,BRONX,10452,718-588-3004
164,NEIGHBORHOOD SENIOR CENTE,1AE01,SISTER ANNUNCIATA BETHELL NSC,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZ,243  East 204th Street,Bronx,10458,718-365-3725
165,NEIGHBORHOOD SENIOR CENTE,1YH01,BRONX HOUSE WEINBERG NSC,BRONX HOUSE INC  ,990  PELHAM PARKWAY SOUTH,BRONX,10461,718-792-1800
166,NEIGHBORHOOD SENIOR CENTE,20201,GRACE AGARD HAREWOOD NEIGHBORHOOD SENIOR,FORT GREENE COUNCIL ,966 FULTON STREET,BROOKLYN,11238,718-638-6910
167,NEIGHBORHOOD SENIOR CENTE,20B01,SHALOM NEIGHBORHOOD SENIOR CENTER,CROWN HEIGHTS PRESERVATION CORP ,483  ALBANY AVENUE,BROOKLYN,11203,718-774-9213
168,NEIGHBORHOOD SENIOR CENTE,20D01,UNITED NEIGHBORHOOD SENIOR CITIZENS CTR,UNITED SENIOR CITIZENS OF SUNSET PARK INC ,475  EAST 53RD STREET,BROOKLYN,11220,718-439-8647
169,NEIGHBORHOOD SENIOR CENTE,20Q01,INDEPENDENCE NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,114 TAYLOR STREET,BROOKLYN,11211,718-388-9242
170,NEIGHBORHOOD SENIOR CENTE,20U01,MARINE PARK ACTIVE ADULTS NEIGHBORHOOD,BERGEN BEACH YOUTH ORGANIZATION INC ,3000 FILLMORE AVENUE,BROOKLYN,11234,718-336-0275
171,NEIGHBORHOOD SENIOR CENTE,20Y01,BCA NEIGHBORHOOD SENIOR CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,545 60TH STREET,BROOKLYN,11220,718-567-9311
172,NEIGHBORHOOD SENIOR CENTE,21301,CCNS THE LODGE NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,7711 18TH AVENUE,BROOKLYN,11214,718-621-1081
173,NEIGHBORHOOD SENIOR CENTE,21401,CCNS NORTHSIDE NEIGHBORHOOD SENIOR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,179 NORTH 6TH STREET,BROOKLYN,11211,718-387-2316
174,NEIGHBORHOOD SENIOR CENTE,21601,RAICES TIMES PLAZA NEIGHBORHOOD SC,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718-694-0895
175,NEIGHBORHOOD SENIOR CENTE,21604,RAICES,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718-694-0895
176,NEIGHBORHOOD SENIOR CENTE,21A01,HABER HOUSE NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3024  WEST 24TH STREET,BROOKLYN,11224,718-372-5775
177,NEIGHBORHOOD SENIOR CENTE,21B01,MARIA LAWTON NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,400 HART STREET,BROOKLYN,11206,718-452-7474
178,NEIGHBORHOOD SENIOR CENTE,21C01,MARLBORO NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,2298 West 8th Street,BROOKLYN,11223,718-373-6161
179,NEIGHBORHOOD SENIOR CENTE,21F01,RED HOOK NEIGHBORHOOD SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,120 West 9th Street,BROOKLYN,11231,718-269-0519
180,NEIGHBORHOOD SENIOR CENTE,21H01,ROSETTA GASTON NEIGHBORHOOD SENIOR CTR,WAYSIDE OUT-REACH DEVELOPMENT INC ,460  DUMONT AVENUE ,BROOKLYN,11212,718-345-5665
181,NEIGHBORHOOD SENIOR CENTE,21J01,TILDEN NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,630  MOTHER GASTON BLVD  ,BROOKLYN ,11212,718-498-2990
182,NEIGHBORHOOD SENIOR CENTE,21J02,Langston Hughes Social Club,WAYSIDE OUT-REACH DEVELOPMENT INC ,301  SUTTER AVENUE ,BROOKLYN ,11212,718-498-2990
183,NEIGHBORHOOD SENIOR CENTE,21K01,BLENMAN NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,720 EAST NEW YORK AVENUE,BROOKLYN,11203,718-773-7400
184,NEIGHBORHOOD SENIOR CENTE,21N01,HUGH GILROY NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,"447 Kingsborough, 4th Walk",BROOKLYN,11233,718-756-8400
185,NEIGHBORHOOD SENIOR CENTE,21P01,WILLOUGHBY NEIGHBORHOOD SENIOR CTR,FORT GREENE COUNCIL ,105 North Portland Avenue,BROOKLYN,11205,718-875-1011
186,NEIGHBORHOOD SENIOR CENTE,21Q01,WYCKOFF GARDENS NEIGHBORHOOD SENIOR CTR,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,280 WYCKOFF STREET,BROOKLYN,11217,718-237-1802
187,NEIGHBORHOOD SENIOR CENTE,21T01,VAN DYKE NEIGHBORHOOD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,430 DUMONT AVENUE,BROOKLYN,11212,718-385-1110
188,NEIGHBORHOOD SENIOR CENTE,21U01,STUYVESANT HEIGHTS NEIGHBORHOOD SC,FORT GREENE COUNCIL ,562-574 MADISON STREET,BROOKLYN,11221,718-230-0824
189,NEIGHBORHOOD SENIOR CENTE,22401,OCEAN PARKWAY NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,1960 EAST 7TH STREET,BROOKLYN,11223,718-449-5000
190,NEIGHBORHOOD SENIOR CENTE,22501,MIDWOOD NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,2164 RALPH AVENUE,BROOKLYN,11234,718-253-5557
191,NEIGHBORHOOD SENIOR CENTE,22502,MILL BASIN NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,2075 EAST 68TH STREET,BROOKLYN,11234,718-444-3850
192,NEIGHBORHOOD SENIOR CENTE,22801,CCNS NARROWS NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,933 54TH STREET,BROOKLYN,11219,718-232-2311
193,NEIGHBORHOOD SENIOR CENTE,22A01,BENSONHURST NEIGHBORHOOD SENIOR CENTER,EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BEN,7802 BAY PARKWAY,BROOKLYN,11214,718-331-6800
194,NEIGHBORHOOD SENIOR CENTE,22B01,SUNSET PARK NEIGHBORHOOD SENIOR CENTER,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH,4520 4TH AVENUE,BROOKLYN,11220,718-210-1050
195,NEIGHBORHOOD SENIOR CENTE,22E01,YOUNG ISRAEL SR SERVICES NBH SR CTR,YOUNG ISRAEL PROGRAMS INC  ,1694 OCEAN AVENUE,BROOKLYN,11230,718-253-7800
196,NEIGHBORHOOD SENIOR CENTE,22K01,CCNS ST LOUIS NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 KINGSTON AVENUE,BROOKLYN,11213,718-397-7171
197,NEIGHBORHOOD SENIOR CENTE,22L01,SENIOR ALLIANCE NEIGHBORHOOD SENIOR CTR,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,161 CORBIN PLACE,BROOKLYN,11235,718-646-4100
198,NEIGHBORHOOD SENIOR CENTE,22M01,GRANT SQUARE NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,19 GRANT AVENUE,BROOKLYN,11216,718-363-3133
199,NEIGHBORHOOD SENIOR CENTE,22N01,HOMECREST BENSONHURST NEIGHBORHOOD SR CT,HOMECREST COMMUNITY SERVICES INC ,7907 NEW UTRECHT AVENUE,BROOKLYN,11214,718-621-7960
200,NEIGHBORHOOD SENIOR CENTE,22P01,VANDALIA NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,47 VANDALIA AVENUE,BROOKLYN,11239,718-272-3949
201,NEIGHBORHOOD SENIOR CENTE,22R01,ABE STARK NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,10315 FARRAGUT ROAD,BROOKLYN,11236,718-272-9515
202,NEIGHBORHOOD SENIOR CENTE,22U01,Boro Park Neighborhood Senior Center,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,5602 11TH AVENUE,BROOKLYN,11219,718-854-7430
203,NEIGHBORHOOD SENIOR CENTE,23201,MANHATTAN BEACH NEIGHBORHOOD SENIOR CTR,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,60 WEST END AVENUE,BROOKLYN,11235,718-646-1118
204,NEIGHBORHOOD SENIOR CENTE,23801,AMICO 59TH ST NEIGHBORHOOD SR CITIZENS C,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AM,5901 13TH AVENUE,BROOKLYN,11219,718-972-1558
205,NEIGHBORHOOD SENIOR CENTE,23Q01,Brookdale Neighborhood Senior Center,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,817 AVENUE H,BROOKLYN,11230,718-434-8670
206,NEIGHBORHOOD SENIOR CENTE,23U01,AMICO 59th Street Neighborhood Senior Center,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC\AM,5901 13TH AVENUE,BROOKLYN,11219,718-972-1558
207,NEIGHBORHOOD SENIOR CENTE,24A05,Palmetto Gardens Social Club,RISEBORO COMMUNITY PARTNERSHIP INC,85 PALMETTO STREET,BROOKLYN,11221,718-676-0876
208,NEIGHBORHOOD SENIOR CENTE,24M01,Midwood Neighborhood Senior Center,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,2164 RALPH AVENUE,BROOKLYN,11234,718-253-5557
209,NEIGHBORHOOD SENIOR CENTE,24M02,Mill Basin Neighborhood Senior Center,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,2075 EAST 68TH STREET,BROOKLYN,11234,718-444-3850
210,NEIGHBORHOOD SENIOR CENTE,24Q01,Vandalia Neighborhood Senior Center,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,47 VANDALIA AVENUE,BROOKLYN,11239,718-272-3949
211,NEIGHBORHOOD SENIOR CENTE,24R01,Independence Neighborhood Senior Center,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA,114 TAYLOR STREET,BROOKLYN,11211,718-388-9242
212,NEIGHBORHOOD SENIOR CENTE,24S01,MARINE PARK ACTIVE ADULTS NEIGHBORHOOD SENIOR CENT,BERGEN BEACH YOUTH ORGANIZATION INC ,3000 FILLMORE AVENUE,BROOKLYN,11234,718-336-0275
213,NEIGHBORHOOD SENIOR CENTE,24U01,Boro Park Y Neighborhood Senior Center,YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF ,4912 14TH AVENUE,BROOKLYN,11219,718-435-3804
214,NEIGHBORHOOD SENIOR CENTE,24V01,BCA Neighborhood Senior Center,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,545 60TH STREET,BROOKLYN,11220,718-567-9311
215,NEIGHBORHOOD SENIOR CENTE,24X01,CCNS The Bay Neighborhood Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,3643 NOSTRAND AVENUE,BROOKLYN,11229,718-648-2053
