,contract_type,provider_id,program_name,sponsor_name,program_address,program_borough,program_zipcode,program_phone
423,NEIGHBORHOOD SENIOR CENTE,44T01,RAICES Astoria Neighborhood Senior Center,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,21-21 30TH DRIVE,LONG ISLAND CIT,11102,718-726-9642
424,NEIGHBORHOOD SENIOR CENTE,44V01,Wavecrest and Bayswater Neighborhood Senior Center,YOUNG ISRAEL PROGRAMS INC  ,2716 HEALY AVENUE,FAR ROCKAWAY,11691,718-327-0297
425,NEIGHBORHOOD SENIOR CENTE,44W01,Pomonok Neighborhood Senior Center,QUEENS COMMUNITY HOUSE INC. ,67-09 KISSENA BOULEVARD,FLUSHING,11367,718-591-3377
426,NEIGHBORHOOD SENIOR CENTE,44X01,Samuel Field Neighborhood Senior Center,SAMUEL FIELD YM & YWHA INC  ,58-20 LITTLE NECK PARKWAY,LITTLE NECK,11362,718-225-6750
427,NEIGHBORHOOD SENIOR CENTE,45701,NEWTOWN ITALIAN NSC,ITALIAN SENIOR CITIZENS INC.,83-20  QUEENS BOULEVARD,ELMHURST,11373,718-335-7272
428,NEIGHBORHOOD SENIOR CENTE,45A01,Ridgewood Older Adult Neighborhood Senior Center,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC ,59-14 70th AVENUE,RIDGEWOOD,11385,718-456-2000
429,NEIGHBORHOOD SENIOR CENTE,45C01,Woodside Neighborhood Senior Center,"SAMARITAN DAYTOP VILLAGE, INC  ",50-37 NEWTOWN ROAD,WOODSIDE,11377,718-932-6916
430,NEIGHBORHOOD SENIOR CENTE,45F01,Middle Village Neighborhood Senior Center,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF ,69-10 75TH STREET,MIDDLE VILLAGE,11379,718-894-3441
431,NEIGHBORHOOD SENIOR CENTE,45G01,CCNS Howard Beach Neighborhood Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,155-55 CROSSBAY BOULEVARD,HOWARD BEACH,11414,718-738-8100
432,NEIGHBORHOOD SENIOR CENTE,46F01,HANAC Angelo Petromelis Neighborhood Senior Center,"HANAC, INC. ",13-28 123RD STREET,COLLEGE POINT,11356,718-961-0344
433,NEIGHBORHOOD SENIOR CENTE,48801,CPC Nan Shan Neighborhood Senior Center,CHINESE AMERICAN PLANNING COUNCIL INC,133-14  41st Avenue,FLUSHING,11355,718-358-3030
434,NEIGHBORHOOD SENIOR CENTE,49301,Selfhelp Maspeth Neighborhood Senior Center,SELFHELP COMMUNITY SERVICES INC ,69-61 GRAND AVENUE,MASPETH,11378,718-429-3636
435,NEIGHBORHOOD SENIOR CENTE,49601,FLORENCE E. SMITH NSC,CORONA CONGREGATIONAL CHURCH  ,102-19 34TH AVENUE,CORONA,11368,718-899-0553
436,NEIGHBORHOOD SENIOR CENTE,49701,The Young Israel of Forest Hills Neighborhood Seni,YOUNG ISRAEL PROGRAMS INC  ,68-07 BURNS STREET,FOREST HILLS,11375,718-520-2305
437,NEIGHBORHOOD SENIOR CENTE,50201,ARROCHAR NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,85 JEROME AVENUE,STATEN ISLAND,10305,718-720-6110
438,NEIGHBORHOOD SENIOR CENTE,50601,GREAT KILLS NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,11 SAMPSON AVENUE,STATEN ISLAND,10308,718-356-5050
439,NEIGHBORHOOD SENIOR CENTE,54001,STAPLETON NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,189 GORDON STREET,STATEN ISLAND,10304,718-981-8828
440,NEIGHBORHOOD SENIOR CENTE,54501,West Brighton Neighborhood Senior Center,"CATHOLIC CHARITIES OF STATEN ISLAND, INC.",230 BROADWAY,STATEN ISLAND,10310,718-727-9763
441,NEIGHBORHOOD SENIOR CENTE,54601,Anderson Neighborhood Senior Center,"CATHOLIC CHARITIES OF STATEN ISLAND, INC.",120 ANDERSON AVENUE,STATEN ISLAND,10302,718-448-5757
442,NEIGHBORHOOD SENIOR CENTE,54701,Stapleton Neighborhood Senior Center,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,189 GORDON STREET,STATEN ISLAND,10304,718-981-8828
443,NEIGHBORHOOD SENIOR CENTE,54801,JCC South Shore Neighborhood Senior Center,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5283
444,NEIGHBORHOOD SENIOR CENTE,54901,New Lane Neighborhood Senior Center,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,70 NEW LANE,STATEN ISLAND,10305,718-448-5936
445,NEIGHBORHOOD SENIOR CENTE,55001,Cassidy Coles Neighborhood Senior Center,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,125 CASSIDY PLACE,STATEN ISLAND,10301,718-273-6808
446,NEIGHBORHOOD SENIOR CENTE,55101,Great Kills Neighborhood Senior Center,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,11 SAMPSON AVENUE,STATEN ISLAND,10308,718-356-5050
447,NEIGHBORHOOD SENIOR CENTE,55201,Arrochar Neighborhood Senior Center,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,85 JEROME AVENUE,STATEN ISLAND,10305,718-720-6110
448,NEIGHBORHOOD SENIOR CENTE,55301,Todt Hill Neighborhood Senior Center,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,184 SCHMIDTS LANE,STATEN ISLAND,10314,718-720-6110
449,NEIGHBORHOOD SENIOR CENTE,55401,Mount Loretto Neighborhood Senior Center,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,6581 HYLAN  BOULEVARD,STATEN ISLAND,10309,718-984-8589
450,NEIGHBORHOOD SENIOR CENTE,5AD01,JCC South Shore Neighborhood Senior Cent,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1297  Arthur Kill Road,Staten Island,10312,718-475-5283
451,NEW YORK CONNECTS,1C401,NEIGHBORHOOD SHOPP NY CONNECTS,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,953 Southern Boulevard,Bronx,10459,347-862-5200
452,NEW YORK CONNECTS,2C401,JASA NY CONNECTS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1901 Coney Island Avenue,Brooklyn ,11230,718-671-6200
453,NEW YORK CONNECTS,3C401,NY FOUNDATION NY CONNECTS,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,11 PARK PLACE,New York,10007,212-962-7653
454,NEW YORK CONNECTS,5C401,CASC NY CONNECTS,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 Bay Street,Staten Island,10301,718-981-6226
455,NORC SITES,1N301,BJCC PELHAM PARKWAY HOUSES NORC,BRONX JEWISH COMMUNITY COUNCIL INC ,2425 WILLIAMBRIDGE ROAD,BRONX,10469,718-652-5500
456,NORC SITES,1N302,BJCC HOLLAND AVENUE NORC,BRONX JEWISH COMMUNITY COUNCIL INC ,2157 HOLLAND AVE,BRONX,10462,718-626-1114
457,NORC SITES,2N301,SPRING CREEK NORC,"SPRING CREEK SENIOR PARTNERS, INC",160 SCHROEDERS AVENUE,BROOKLYN,11239,718-348-7620
458,NORC SITES,3D101,VILLAGE VIEW,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 ALLEN STREET,NEW YORK,10002,212-473-8217
459,NORC SITES,N1101,BJCC AMALGAMATED PK RESEVOIR NORC,BRONX JEWISH COMMUNITY COUNCIL INC ,98 VAN CORTLANDT PARK SOUTH,BRONX,10463,718-548-4990
460,NORC SITES,N1102,BRONX JEWISH COMMUNITY COUNCIL NORC,BRONX JEWISH COMMUNITY COUNCIL INC ,2930 WALLACE AVENUE,BRONX,10467,718-652-5500
461,NORC SITES,N1103,BJCC BAINBRIDGE AVENUE NORC,BRONX JEWISH COMMUNITY COUNCIL INC ,220 East 204 Street,BRONX,10458,718-654-5105
462,NORC SITES,N1301,BETH ABRAHAM PARKCHESTER ENHANCE NORC,"CENTERLIGHT HEALTH SYSTEM, INC.",1525 UNION PORT ROAD,BRONX,10462,718-409-1619
463,NORC SITES,N1701,JASA CO OP CITY NORC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2049 BARTOW AVE,BRONX,10475,718-320-2066
464,NORC SITES,N2101,JASA TRUMPS UNITED NORC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2915 WEST 5TH STREET,BROOKLYN,11224,718-471-6677
465,NORC SITES,N2201,JASA WARBASSE CARES NORC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2844 OCEAN PARKWAY,BROOKLYN,11235,718-996-5200
466,NORC SITES,N2801,JASA CONEY ISLAND ACTIVE AGING NORC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2950 WEST 35TH STREET,BROOKLYN,11224,718-943-7811
467,NORC SITES,N2901,JASA BUSHWICK HYLAND NORC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,50 HUMBOLDT STREET,BROOKLYN,11206,718-934-4295
468,NORC SITES,N3001,HAMILTON MADISON KNICKERBOCKER NORC,HAMILTON MADISON HOUSE INC  ,36 MONROE STREET,NEW YORK,10002,212-349-0616
469,NORC SITES,N3101,EDUCATIONAL ALLIANCE CO OP VILLAGE NORC,THE EDUCATIONAL ALLIANCE INC  ,465 GRAND STREET,NEW YORK,10002,646-395-4270
470,NORC SITES,N3201,MORNINGSIDE MRHS NORC,MORNINGSIDE RETIREMENT & HEALTH SERVICES INC ,100 LASALLE STREET,NEW YORK,10027,212-666-4000
471,NORC SITES,N3301,PENN SOUTH NORC,PENN SOUTH SOCIAL SERVICES INC  ,290 NINTH AVENUE,NEW YORK,10001,212-243-3670
472,NORC SITES,N3401,STANLEY M ISAACS NORC,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212-360-7620
473,NORC SITES,N3501,HENRY STREET VLADECK CARES NORC,HENRY STREET SETTLEMENT  ,265 HENRY STREET,NEW YORK,10002,212-349-2770
474,NORC SITES,N3801,GODDARD RIVERSIDE WEST SIDE NORC,GODDARD-RIVERSIDE COMMUNITY CENTER ,593 COLUMBUS AVENUE,NEW YORK,10024,212-665-3853
475,NORC SITES,N3901,UNION SETTLEMENT FRANKLIN PLAZA NORC,UNION SETTLEMENT ASSOCIATION ,2078 SECOND AVENUE,NEW YORK,10029,646-676-1801
476,NORC SITES,N3C01,HAMILTON MADISON ALFRED SMITH HOUSESNORC,HAMILTON MADISON HOUSE INC  ,50 MADISON STREET,NEW YORK,10038,212-349-3724
477,NORC SITES,N3D01,HUDSON GUILD ELLIOT CHELSEA NORC,HUDSON GUILD  ,441 WEST 26TH STREET,NEW YORK,10001,212-760-9800
478,NORC SITES,N3E01,ISABELLA GERIATRIC FT GEORGE VISTAS NORC,ISABELLA GERIATRIC CENTER INC  ,17 FT. GEORGE HILL,NEW YORK,10040,212-304-1064
479,NORC SITES,N3G01,LINCOLN SQUARE NORC,GODDARD-RIVERSIDE COMMUNITY CENTER ,250 West 65 Street,New York,10023,212-874-0860
480,NORC SITES,N4101,SAMUEL FIELD Y CLEARVIEW GARDENS NORC,SAMUEL FIELD YM & YWHA INC  ,163-59 17 AVENUE,LITTLE NECK,11357,718-352-4157
481,NORC SITES,N4201,SELFHELP BIG SIX NORC,SELFHELP COMMUNITY SERVICES INC ,59-55 47TH AVENUE,WOOSIDE,11377,718-458-8579
482,NORC SITES,N4301,SELFHELP QUEENSVIEW NORC,SELFHELP COMMUNITY SERVICES INC ,33-34 CRESCENT STREET,LONG ISLAND CIT,11106,718-278-4148
483,NORC SITES,N4401,SAMUEL FIELD Y DEEPDALE GARDENS NORC,SAMUEL FIELD YM & YWHA INC  ,57-17 MARATHON PARKWAY,LITTLE NECK,11362,718-225-6750
484,NORC SITES,N4501,FOREST HILLS COMMUNITY HOUSE NORC,QUEENS COMMUNITY HOUSE INC. ,108-25 62nd Drive,Forest Hills,11375,718-760-5231
485,NORC SITES,N4601,HANAC RAVENSWOOD NORC,"HANAC, INC. ",34-35 12TH STREET,ASTORIA,11106,718-609-1028
486,NORC SITES,N4801,SELFHELP FRESH MEADOWS NORC,SELFHELP COMMUNITY SERVICES INC ,67-00 192  STREET,FRESH MEADOWS,11365,718-454-6288
487,OTHER SATELLITE,12T02,JASA EINSTEIN SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,135 EINSTEIN LOOP,BRONX,10475,718-379-2702
488,OTHER SATELLITE,13R02,Patterson Houses Senior Center,EAST SIDE HOUSE INC  ,337 ALEXANDER AVENUE,BRONX,10454,718-993-5146
489,OTHER SATELLITE,13Z02,JASA Einstein Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,135 EINSTEIN LOOP,BRONX,10475,718-379-2702
490,OTHER SATELLITE,14C02,Sue Ginsburg Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,975 WARING AVENUE,BRONX,10469,718-881-1758
491,OTHER SATELLITE,14Q02,Tolentine Zeiser Community Life Center,REGIONAL AID FOR INTERIM NEEDS INC ,2345 UNIVERSITY AVENUE,BRONX,10468,718-933-3305
492,OTHER SATELLITE,14Q03,Bailey Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,2660 BAILEY AVENUE,BRONX,10463,718-796-2559
493,OTHER SATELLITE,21602,FARRAGUT SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,228 YORK STREET,BROOKLYN,11201,718-422-1069
494,OTHER SATELLITE,21603,RAICES GOWANUS SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,420 BALTIC STREET,BROOKLYN,11201,718-797-2472
495,OTHER SATELLITE,27B02,Saratoga Square Senior Center,RISEBORO COMMUNITY PARTNERSHIP INC,930 HALSEY STREET,BROOKLYN,11233,347-425-0676
496,OTHER SATELLITE,27H02,Farragut Senior Center,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,228 YORK  STREET,BROOKLYN,11201,718-422-1069
497,OTHER SATELLITE,27H03,RAICES Gowanus Senior Center,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,420 Baltic Street,BROOKLYN,11201,718-797-2472
498,OTHER SATELLITE,32902,Polo Grounds,COTHOA LUNCHEON CLUB INC  ,2965 EIGHTH AVENUE,NEW YORK,10039,212-283-5475
499,OTHER SATELLITE,44F02,JASA Club 76 Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,120 W. 76 Street,NEW YORK,10023,212-712-0170
500,OTHER SATELLITE,44M02,Kew Gardens Community Center,QUEENS COMMUNITY HOUSE INC. ,80-02 Kew Gardens Road,Kew Gardens,11415,718-268-0895
501,SOCIAL CLUB,12E02,Fort Independence Social Club,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3340 BAILEY AVENUE,BRONX,10463,718-796-2950
502,SOCIAL CLUB,13P02,Fort Independence Social Club,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3340 BAILEY AVENUE,BRONX,10463,718-796-2950
503,SOCIAL CLUB,14L02,Morrisania Air Rights Social Club,PRESBYTERIAN SENIOR SERVICES  ,3135 PARK AVENUE,BRONX,10451,718-992-2528
504,SOCIAL CLUB,20202,Marcus Garvey Social Club,FORT GREENE COUNCIL ,1440 E NEW YORK AVENUE,BROOKLYN,11212,718-346-7167
505,SOCIAL CLUB,20203,SETH LOW SOCIAL CLUB,FORT GREENE COUNCIL ,137 BELMONT AVENUE,BROOKLYN,11212,718-485-4991
506,SOCIAL CLUB,25R02,Marcus Garvey Social Club,FORT GREENE COUNCIL ,1440 E NEW YORK AVENUE,BROOKLYN,11212,718-346-7167
507,SOCIAL CLUB,25R03,Seth Low Social Club,FORT GREENE COUNCIL ,137 BELMONT AVENUE,BROOKLYN,11212,718-485-4991
508,SOCIAL CLUB,26Q02,Cooper Park Social Club,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,288 FROST STREET,BROOKLYN,11222,718-408-6328
509,SOCIAL CLUB,27B03,Brevoort Social Club,RISEBORO COMMUNITY PARTNERSHIP INC,280 RALPH AVENUE,BROOKLYN,11233,347-318-3383
510,SOCIAL CLUB,27B04,Stuyvesant Gardens Social Club,RISEBORO COMMUNITY PARTNERSHIP INC,150 MALCOLM X BOULEVARD,BROOKLYN,11221,347-318-3313
511,SOCIAL CLUB,27B05,Palmetto Gardens Social Club,RISEBORO COMMUNITY PARTNERSHIP INC,85 PALMETTO STREET,BROOKLYN,11221,718-676-0876
512,SOCIAL CLUB,27R02,Armstrong Social Club,WAYSIDE OUT-REACH DEVELOPMENT INC ,360 NOSTRAND AVENUE,BROOKLYN,11216,718-638-3000
513,SOCIAL CLUB,32903,Ralph J. Rangel Social Club,COTHOA LUNCHEON CLUB INC  ,159-36 HARLEM RIVER DRIVE,NEW YORK,10039,646-918-7570
514,SOCIAL CLUB,34102,Saint Nicholas Social Club,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",210 WEST 131ST STREET,NEW YORK,10001,646-678-4451
515,SOCIAL CLUB,34T02,Kings Towers Social Club,PRESBYTERIAN SENIOR SERVICES  ,50 LENOX AVENUE,NEW YORK,10026,646-861-2077
516,SOCIAL CLUB,35C02,Saint Nicholas Social Club,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",210 WEST 131ST STREET,NEW YORK,10001,646-678-4451
517,SOCIAL CLUB,35D02,Lehman Social Club,"CARTER BURDEN NETWORK, INC.",1641 MADISON AVENUE,NEW YORK,10029,646-370-5642
518,SOCIAL CLUB,36302,Meltzer Tower Social Club,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,94 EAST 1ST STREET,NEW YORK,10009,212-253-5624
519,SOCIAL CLUB,36B02,Douglass Social Club,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOU,868 Amsterdam Avenue,NEW YORK,10025,646-214-2560
520,SOCIAL CLUB,42Q02,International Towers Social Club,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,90-20 170TH STREET,JAMAICA,11432,718-657-5075
521,SOCIAL CLUB,42Q03,Shelton House Social Club,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,89-09 162ND STREET,JAMAICA,11433,718-657-5454
522,SOCIAL SERVICES ONLY,15602,RAIN ONE STOP SERVICES FOR ELDERLY,REGIONAL AID FOR INTERIM NEEDS INC ,1380 METROPOLITAN AVENUE,BRONX,10462,718-239-4358
523,SOCIAL SERVICES ONLY,15E02,Neighborhood SHOPP SNAP,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND STREET,BRONX,10460,718-620-4650
524,SOCIAL SERVICES ONLY,26Y02,Polish and Slavic Extended Social Services,POLISH & SLAVIC CENTER INC  ,176 JAVA STREET,BROOKLYN,11222,718-383-3324
525,SOCIAL SERVICES ONLY,27H04,RAICES,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718-694-0895
526,SOCIAL SERVICES ONLY,28D02,AMICO Extended Services,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC\AM,138 BAY 20TH  STREET,BROOKLYN,11214,718-256-3445
527,SOCIAL SERVICES ONLY,31203,BURDEN CENTER ON AGING,"CARTER BURDEN NETWORK, INC.",351 EAST 74TH STREET,NEW YORK,10021,212-879-7400
528,SOCIAL SERVICES ONLY,31703,Burden Center for the Aging,"CARTER BURDEN NETWORK, INC.",351 EAST 74TH STREET,NEW YORK,10021,212-879-7400
529,SOCIAL SERVICES ONLY,36203,UJC Extended Services,UNITED JEWISH COUNCIL OF THE EAST SIDE INC ,465 Grand Street,NEW YORK,10002,212-233-6037
530,SOCIAL SERVICES ONLY,44F03,JASA One Stop,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,86-25 FRANCIS LEWIS BOULEVARD,JAMAICA,11427,212-864-7900
531,SOCIAL SERVICES ONLY,45N02,HANAC Extended Services,"HANAC, INC. ",27-40 HOYT AVENUE SOUTH,ASTORIA,11102,718-396-5054
532,SOCIAL SERVICES ONLY,55002,CASC Assistance,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226
533,SOCIAL SERVICES ONLY,63801,NY FDTN HOME SHARING,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,11 PARK PLACE,NEW YORK,10007,212-962-7653
534,TRANSPORTATION ONLY,10601,MID BRONX TRANSPORTATION,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-992-2057
535,TRANSPORTATION ONLY,19601,RAIN EASTCHESTER TRANSPORTATION,REGIONAL AID FOR INTERIM NEEDS INC ,1246 BURKE AVENUE,BRONX,10469,718-671-8550
536,TRANSPORTATION ONLY,24601,PROJECT RELIEF TRANSPORTATION,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH STREET,BROOKLYN,11224,718-449-5000
537,TRANSPORTATION ONLY,30901,WHIST TRANSPORTATION,ARC XVI FORT WASHINGTON INC  ,4111 BROADWAY,NEW YORK,10033,212-781-5700
538,TRANSPORTATION ONLY,36701,NEW YORK FOUNDATION TRANSPORTATION,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,404 WEST 54TH STREET,NEW YORK,10019,212-956-0855
539,TRANSPORTATION ONLY,44601,HANAC EAST-WEST CONNECTION,"HANAC, INC. ",27-40 HOYT AVENUE,LONG ISLAND CIT,11102,718-267-6910
540,TRANSPORTATION ONLY,46201,JSPOA TRANSPORTATION PROGRAM,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,92-47 165TH STREET,JAMAICA,11433,718-657-6500
541,TRANSPORTATION ONLY,53801,CASC TRANSPORTATION,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226
