dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
14K478,"The High School For Enterprise, Business And Techn",High School,26%,88%,79%,7.3,6.7,7.0,7.4
14K488,Brooklyn Preparatory High School,High School,27%,100%,80%,7.4,6.7,7.0,7.5
14K558,Williamsburg High School For Architecture And Desi,High School,69%,100%,95%,8.1,7.5,7.8,8.2
14K561,Williamsburg Preparatory School,High School,30%,93%,82%,8.0,7.6,7.8,8.3
14K577,Conselyea Preparatory School,Middle School,94%,96%,80%,8.0,7.7,8.1,8.4
14K582,M.S. 582,Middle School,38%,93%,91%,7.2,6.9,7.2,7.7
14K586,Lyons Community School,Middle/High School,28%,98%,81%,7.4,7.6,7.8,8.2
14K610,Automotive High School,High School,6%,59%,53%,5.7,5.9,6.1,6.5
14K614,Young Women'S Leadership School Of Brooklyn,Middle/High School,72%,100%,95%,8.0,7.6,7.9,8.2
14K632,Frances Perkins Academy,High School,13%,89%,66%,7.1,6.8,7.3,7.4
14K685,El Puente Academy For Peace And Justice,High School,63%,100%,85%,8.3,7.4,8.0,8.2
14K923,Automotive High School Yabc,YABC,8%,100%,93%,8.3,7.4,8.1,8.3
15K001,P.S. 001 The Bergen,Elementary School,49%,81%,NA,8.1,7.0,7.2,7.5
15K010,"Magnet School Of Math, Science And Design Technolo",Elementary School,59%,100%,NA,8.8,8.3,8.7,8.6
15K015,P.S. 015 Patrick F. Daly,Elementary School,77%,74%,NA,8.6,7.8,8.4,8.3
15K024,P.S. 024,Elementary School,42%,93%,NA,8.2,7.2,7.5,7.6
15K029,P.S. 029 John M. Harrigan,Elementary School,48%,87%,NA,8.7,8.4,8.5,8.5
15K032,P.S. 032 Samuels Mills Sprole,Elementary School,77%,98%,NA,8.2,7.7,8.1,8.3
15K038,P.S. 038 The Pacific,Elementary School,83%,41%,NA,8.4,7.7,8.1,8.3
15K039,P.S. 039 Henry Bristow,Elementary School,83%,96%,NA,9.0,8.1,8.3,8.6
15K051,M.S. 51 William Alexander,Middle School,63%,98%,97%,7.9,6.9,7.6,7.9
15K058,P.S. 058 The Carroll,Elementary School,60%,86%,NA,8.6,8.0,8.4,8.4
15K088,J.H.S. 088 Peter Rouget,Middle School,34%,37%,93%,7.9,7.3,7.7,8.1
15K094,P.S. 094 The Henry Longfellow,Elementary School,65%,84%,NA,7.7,6.5,6.8,6.9
15K107,P.S. 107 John W. Kimball,Elementary School,84%,91%,NA,8.8,8.3,8.5,8.6
15K124,P.S. 124 Silas B. Dutcher,Elementary School,66%,64%,NA,8.6,7.5,7.6,7.8
15K130,P.S. 130 The Parkside,Elementary School,82%,76%,NA,8.3,7.5,7.8,7.9
15K131,P.S. 131 Brooklyn,Elementary School,60%,100%,NA,8.6,7.7,7.9,8.4
15K136,I.S. 136 Charles O. Dewey,Middle School,29%,64%,90%,7.2,6.9,7.3,7.7
15K146,P.S. 146,Elementary School,57%,98%,NA,8.8,8.4,8.9,8.8
15K154,Magnet School For Science & Technology,Elementary School,53%,68%,NA,8.3,7.7,8.4,8.3
15K169,P.S. 169 Sunset Park,Elementary School,64%,66%,NA,8.2,7.2,7.5,7.5
15K172,P.S. 172 Beacon School Of Excellence,Elementary School,100%,95%,NA,9.0,8.5,8.6,8.8
15K230,P.S. 230 Doris L. Cohen,Elementary School,78%,91%,NA,8.9,7.8,8.2,8.3
15K261,P.S. 261 Philip Livingston,Elementary School,48%,53%,NA,8.0,7.6,8.0,7.9
15K295,P.S. 295,Elementary School,88%,97%,NA,8.6,8.2,8.3,8.4
15K321,P.S. 321 William Penn,Elementary School,48%,85%,NA,8.6,8.6,8.6,8.9
15K418,P.S. 372 -The Children'S School,Elementary School,37%,72%,NA,8.4,7.7,8.4,8.1
15K423,Brooklyn Frontiers High School,High School,27%,100%,89%,8.0,7.3,7.6,8.2
15K429,Brooklyn School For Global Studies,Middle/High School,17%,94%,81%,7.0,6.1,6.5,6.9
15K442,New Horizons School,Middle School,46%,96%,96%,7.6,7.0,7.4,7.7
15K443,New Voices School Of Academic & Creative Arts,Middle School,42%,84%,95%,8.3,7.3,7.7,8.1
15K447,The Math & Science Exploratory School,Middle School,56%,100%,99%,7.8,7.4,7.6,8.1
15K448,Brooklyn Secondary School For Collaborative Studies,Middle/High School,33%,84%,86%,7.3,6.9,7.3,7.6
15K462,Secondary School For Law,Middle/High School,51%,84%,89%,7.2,6.7,6.8,7.4
15K463,Secondary School For Journalism,Middle/High School,35%,58%,83%,6.8,6.3,6.3,7.0
15K464,Park Slope Collegiate,Middle/High School,12%,72%,75%,7.1,6.5,7.0,7.5
15K497,School For International Studies,Middle/High School,30%,97%,86%,7.4,6.8,7.0,7.5
15K519,Cobble Hill School Of American Studies,High School,33%,98%,62%,7.0,6.7,7.0,7.3
15K520,Pacific High School,Transfer High School,7%,80%,63%,8.2,6.5,8.1,8.0
15K529,West Brooklyn Community High School,Transfer High School,83%,100%,84%,8.7,8.1,8.4,8.6
15K530,Metropolitan Corporate Academy High School,High School,22%,100%,56%,7.0,6.8,7.0,7.2
15K656,Brooklyn High School Of The Arts,High School,17%,88%,87%,6.9,5.9,6.2,6.7
15K667,Sunset Park High School,High School,34%,96%,81%,7.6,7.2,7.6,7.9
15K676,Red Hook Neighborhood School,Elementary School,47%,83%,NA,7.8,7.1,7.4,7.8
15K684,Millennium Brooklyn Hs,High School,45%,100%,99%,8.4,8.1,8.2,8.4
15K698,South Brooklyn Community High School,Transfer High School,10%,91%,64%,8.3,7.3,7.7,8.0
15K821,Sunset Park Prep,Middle School,41%,85%,77%,7.8,6.7,7.0,7.4
16K005,P.S. 005 Dr. Ronald Mcnair,Elementary School,65%,70%,NA,7.5,7.3,7.4,7.4
16K021,P.S. 021 Crispus Attucks,Elementary School,82%,64%,NA,8.4,7.7,7.9,8.2
16K025,P.S. 025 Eubie Blake School,Elementary School,65%,100%,NA,7.7,7.7,7.9,8.2
16K026,P.S. 026 Jesse Owens,Elementary School,63%,82%,NA,8.6,8.0,8.4,8.4
16K028,P.S. 028 The Warren Prep Academy,Elementary School,78%,91%,NA,8.3,7.4,8.0,8.1
16K035,M.S. 035 Stephen Decatur,Middle School,96%,100%,100%,8.7,8.7,8.8,8.9
16K040,P.S. 040 George W. Carver,Elementary School,73%,100%,NA,8.6,8.2,8.5,8.5
16K057,J.H.S. 057 Whitelaw Reid,Middle School,78%,100%,91%,8.0,7.5,8.1,8.2
16K081,P.S. 081 Thaddeus Stevens,Elementary School,58%,95%,NA,8.1,7.8,7.9,8.1
16K243,P.S. 243K- The Weeksville School,Elementary School,32%,78%,NA,7.8,7.2,7.3,7.5
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,Elementary/Middle School,50%,74%,79%,7.9,7.7,7.7,8.1
16K267,"M.S. 267 Math, Science & Technology",Middle School,55%,100%,98%,8.0,7.9,8.1,8.4
16K308,P.S. 308 Clara Cardwell,Elementary/Middle School,32%,92%,75%,7.4,7.4,7.6,8.1
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,Elementary School,47%,70%,NA,7.6,7.0,7.2,7.1
16K335,P.S. 335 Granville T. Woods,Elementary School,64%,81%,NA,8.0,7.8,8.0,8.3
16K385,"School Of Business, Finance And Entrepreneurship",Middle School,15%,80%,88%,6.8,6.8,6.9,7.2
16K393,Frederick Douglass Academy Iv Secondary School,Middle/High School,37%,91%,73%,6.4,5.9,6.3,6.6
16K455,Boys And Girls High School,High School,15%,46%,18%,6.8,7.1,7.2,7.2
16K498,Brooklyn High School For Law And Technology,High School,17%,65%,72%,7.6,7.0,7.3,7.7
16K534,Upper School @ P.S. 25,Middle School,25%,79%,95%,6.0,5.9,6.2,6.5
16K584,M.S. 584,Middle School,47%,90%,96%,7.1,7.0,7.4,7.8
16K594,Gotham Professional Arts Academy,High School,12%,100%,85%,7.3,7.3,7.8,8.1
16K627,Brighter Choice Community School,Elementary School,100%,100%,NA,9.0,8.6,8.7,8.9
16K628,Brooklyn Brownstone School,Elementary School,100%,91%,NA,8.0,8.5,8.6,8.6
16K636,Young Scholars' Academy For Discovery And Explorat,Elementary School,100%,94%,NA,8.9,9.0,9.1,9.2
16K688,The Brooklyn Academy Of Global Finance,High School,15%,100%,62%,4.7,4.7,4.8,5.3
17K002,M.S. 002,Middle School,40%,66%,89%,7.4,7.4,7.6,7.9
17K006,P.S. 006,Elementary School,24%,31%,NA,8.5,8.1,8.3,8.3
17K012,P.S. 012,Elementary School,36%,39%,NA,7.9,7.4,7.8,8.0
17K022,P.S. 022,Elementary School,29%,26%,NA,7.3,6.9,6.9,6.9
17K061,M.S. 061 Dr. Gladstone H. Atwell,Middle School,61%,78%,86%,6.9,6.8,7.3,7.8
17K091,P.S. 091 The Albany Avenue School,Elementary School,79%,96%,NA,7.7,7.6,7.7,7.9
17K092,P.S. 092 Adrian Hegeman,Elementary School,41%,26%,NA,8.0,7.4,7.5,7.6
17K122,Pathways In Technology Early College High School (,High School,45%,100%,82%,8.0,7.3,7.6,8.2
17K138,P.S. 138 Brooklyn,Elementary/Middle School,51%,72%,87%,7.5,7.6,8.1,8.5
17K161,P.S. 161 The Crown,Elementary/Middle School,51%,94%,81%,6.9,7.2,7.3,7.6
17K167,P.S. 167 The Parkway,Elementary School,37%,34%,NA,7.5,7.1,7.1,7.5
17K181,P.S. 181 Brooklyn,Elementary/Middle School,32%,39%,91%,6.7,6.4,6.6,7.1
17K189,P.S. 189 Lincoln Terrace,Elementary/Middle School,61%,94%,85%,7.7,7.2,7.5,8.1
17K191,P.S. 191 Paul Robeson,Elementary School,37%,41%,NA,8.4,7.6,8.0,8.1
17K221,P.S. 221 Toussaint L'Ouverture,Elementary School,50%,59%,NA,8.3,8.3,8.4,8.5
17K241,P.S. 241 Emma L. Johnston,Elementary School,64%,68%,NA,8.1,7.7,8.0,8.1
17K246,M.S. 246 Walt Whitman,Middle School,41%,74%,84%,6.8,6.5,7.0,7.3
17K249,P.S. 249 The Caton,Early Childhood School,100%,96%,NA,9.2,8.9,9.1,9.2
17K289,P.S. 289 George V. Brower,Elementary School,57%,33%,NA,7.7,7.3,7.4,7.7
17K316,P.S. 316 Elijah Stroud,Elementary School,61%,92%,NA,8.1,7.5,7.8,7.8
17K334,Middle School For Academic And Social Excellence,Middle School,54%,83%,87%,7.4,7.0,7.5,7.9
17K340,I.S. 340,Middle School,45%,83%,95%,7.3,7.1,7.2,7.7
17K352,Ebbets Field Middle School,Middle School,73%,94%,92%,6.7,6.3,6.7,7.0
17K353,Elijah Stroud Middle School,Middle School,86%,71%,98%,7.5,7.2,7.5,8.0
17K354,The School Of Integrated Learning,Middle School,92%,96%,98%,7.9,7.9,8.2,8.6
17K375,P.S. 375 Jackie-Robinson School,Elementary School,83%,95%,NA,8.7,8.3,8.6,8.6
17K382,Academy For College Preparation And Career Explora,Middle/High School,13%,90%,83%,6.4,6.4,6.5,6.9
17K394,M.S. K394,Elementary/Middle School,44%,92%,97%,8.0,7.5,7.8,8.3
17K397,P.S. 397 Foster-Laurie,Elementary School,62%,86%,NA,8.4,7.4,7.8,8.2
17K398,P.S. 398 Walter Weaver,Elementary School,52%,69%,NA,7.1,6.7,7.2,7.1
17K399,P.S. 399 Stanley Eugene Clark,Elementary School,46%,57%,NA,8.2,7.1,7.6,7.7
17K408,Academy Of Hospitality And Tourism,High School,59%,78%,77%,6.1,6.6,6.8,7.3
17K467,Erasmus Yabc,YABC,78%,95%,91%,8.3,7.4,8.0,8.2
17K484,Ronald Edmonds Learning Center Ii,Middle School,8%,43%,81%,7.2,6.9,7.3,8.1
17K489,W.E.B. Dubois Academic High School,Transfer High School,25%,83%,76%,7.2,6.6,6.9,7.3
17K524,International High School At Prospect Heights,High School,37%,88%,84%,8.2,7.3,7.8,8.0
17K528,The High School For Global Citizenship,High School,25%,100%,63%,6.7,6.6,6.5,6.9
17K531,"School For Human Rights, The",Middle/High School,47%,100%,97%,8.1,7.7,8.1,8.4
17K533,School For Democracy And Leadership,Middle/High School,48%,85%,82%,6.2,6.5,6.5,6.9
17K537,High School For Youth And Community Development At,High School,57%,91%,86%,6.7,6.7,7.1,7.5
17K539,High School For Service & Learning At Erasmus,High School,41%,92%,88%,6.9,6.9,7.1,7.6
17K543,"Science, Technology And Research Early College Hig",Middle/High School,95%,100%,94%,8.1,7.1,7.7,7.8
17K544,International Arts Business School,High School,12%,97%,62%,6.3,6.4,6.4,6.9
17K546,High School For Public Service: Heroes Of Tomorrow,High School,28%,100%,89%,8.3,7.4,7.9,8.3
17K547,Brooklyn Academy Of Science And The Environment,High School,24%,86%,76%,6.6,6.4,6.4,7.0
17K548,Brooklyn School For Music & Theatre,High School,45%,73%,89%,6.9,6.5,7.0,7.3
17K568,Brownsville Academy High School,Transfer High School,47%,87%,62%,8.6,8.3,8.4,8.7
17K587,Middle School For The Arts,Middle School,19%,100%,73%,6.2,6.2,6.6,6.7
17K590,Medgar Evers College Preparatory School,Middle/High School,38%,33%,86%,7.5,7.0,7.2,7.9
17K600,Clara Barton High School,High School,26%,77%,82%,6.9,6.1,6.6,7.0
17K625,Paul Robeson High School,High School,11%,75%,47%,6.7,5.9,6.3,6.5
17K751,Academy For Health Careers,High School,28%,100%,86%,7.3,6.8,6.9,7.5
17K770,P.S. 770 New American Academy,Early Childhood School,87%,82%,NA,8.7,8.2,8.5,8.6
18K066,P.S. 66,Elementary/Middle School,51%,98%,94%,7.6,7.2,7.4,7.9
18K068,I.S. 068 Isaac Bildersee,Middle School,44%,79%,94%,6.1,6.6,6.9,7.3
18K114,P.S. 114 Ryder Elementary,Elementary School,38%,83%,NA,8.0,7.8,7.8,8.0
18K115,P.S. 115 Daniel Mucatel School,Elementary School,58%,87%,NA,7.0,6.7,7.2,7.0
18K135,P.S. 135 Sheldon A. Brookner,Elementary School,39%,81%,NA,8.2,8.0,8.1,8.4
18K208,P.S. 208 Elsa Ebeling,Elementary School,55%,97%,NA,8.3,8.1,8.2,8.6
18K219,P.S. 219 Kennedy-King,Elementary School,70%,61%,NA,7.6,7.2,7.2,7.4
18K233,P.S. 233 Langston Hughes,Elementary School,53%,100%,NA,7.4,7.4,7.5,7.8
18K235,P.S. 235 Lenox School,Elementary/Middle School,49%,58%,99%,7.9,7.3,7.7,8.2
18K244,P.S. 244 Richard R. Green,Elementary School,37%,71%,NA,8.5,8.0,8.2,8.5
18K268,P.S. 268 Emma Lazarus,Elementary School,64%,73%,NA,8.1,7.8,8.0,8.1
18K272,P.S. 272 Curtis Estabrook,Elementary School,73%,91%,NA,8.1,7.7,8.0,8.1
18K276,P.S. 276 Louis Marshall,Elementary School,86%,94%,NA,7.9,7.7,7.8,7.9
18K279,P.S. 279 Herman Schreiber,Elementary School,56%,93%,NA,7.8,6.9,7.1,7.4
18K285,I.S. 285 Meyer Levin,Middle School,61%,39%,91%,6.9,6.8,7.4,7.7
18K366,The Science And Medicine Middle School,Middle School,85%,86%,87%,7.6,7.6,7.8,8.1
18K563,It Takes A Village Academy,High School,46%,100%,86%,7.5,7.3,7.8,8.2
18K566,Brooklyn Generation School,High School,16%,88%,52%,6.9,6.7,6.7,7.2
18K567,Brooklyn Theatre Arts High School,High School,12%,87%,82%,5.7,5.4,5.8,6.1
18K569,Kurt Hahn Expeditionary Learning School,High School,38%,92%,79%,7.2,7.2,7.5,8.0
18K576,Victory Collegiate High School,High School,31%,96%,70%,7.7,7.2,7.5,8.0
18K578,Brooklyn Bridge Academy,Transfer High School,87%,88%,77%,7.8,7.2,7.5,7.9
18K581,East Flatbush Community Research School,Middle School,63%,82%,95%,6.4,6.7,6.9,7.2
18K588,Middle School For Art And Philosophy,Middle School,53%,96%,94%,7.0,7.1,7.4,7.7
18K589,Arts & Media Preparatory Academy,High School,30%,86%,64%,7.3,6.5,6.7,7.1
18K598,Middle School Of Marketing And Legal Studies,Middle School,61%,50%,82%,7.3,7.6,7.6,8.0
18K617,High School For Innovation In Advertising And Medi,High School,38%,76%,76%,7.3,6.8,7.2,7.5
18K629,Cultural Academy For The Arts And Sciences,High School,14%,88%,85%,7.6,7.1,7.4,7.7
18K633,High School For Medical Professions,High School,64%,96%,96%,6.9,7.0,6.6,7.4
18K635,Olympus Academy,Transfer High School,2%,100%,57%,7.8,6.1,7.3,7.9
18K637,Academy For Conservation And The Environment,High School,41%,100%,86%,6.8,6.8,6.8,7.1
18K642,Urban Action Academy,High School,21%,78%,63%,7.1,6.9,7.0,7.1
18K673,East Brooklyn Community High School,Transfer High School,29%,94%,73%,8.0,7.4,8.0,8.3
18K922,South Shore Educational Complex Yabc,YABC,32%,41%,44%,8.5,7.9,8.2,8.4
19K007,P.S. 007 Abraham Lincoln,Elementary School,69%,86%,NA,8.1,7.5,7.5,8.0
19K013,P.S. 013 Roberto Clemente,Elementary School,46%,89%,NA,7.7,7.9,8.0,8.3
19K065,P.S. 065,Elementary School,83%,100%,NA,9.2,8.9,9.0,9.1
19K089,P.S. 089 Cypress Hills,Elementary/Middle School,73%,85%,87%,8.0,7.1,7.6,7.8
19K108,P.S. 108 Sal Abbracciamento,Elementary School,75%,97%,NA,8.2,7.5,7.7,7.9
19K149,P.S. 149 Danny Kaye,Elementary School,46%,88%,NA,7.7,7.9,8.1,8.2
19K158,P.S. 158 Warwick,Elementary School,58%,87%,NA,7.9,7.3,7.7,7.7
19K159,P.S. 159 Isaac Pitkin,Elementary School,59%,98%,NA,8.2,7.8,7.9,8.1
19K166,J.H.S. 166 George Gershwin,Middle School,40%,70%,91%,6.0,6.4,6.6,6.9
19K171,I.S. 171 Abraham Lincoln,Middle School,74%,88%,91%,7.1,6.9,7.4,7.7
19K174,P.S. 174 Dumont,Elementary/Middle School,61%,76%,94%,7.4,7.0,7.2,7.7
19K190,P.S. 190 Sheffield,Elementary School,57%,73%,NA,8.2,7.9,8.1,8.2
19K202,P.S. 202 Ernest S. Jenkyns,Elementary/Middle School,48%,68%,86%,6.7,6.9,7.2,7.7
19K213,P.S. 213 New Lots,Elementary School,52%,77%,NA,7.5,6.9,7.2,7.3
19K214,P.S. 214 Michael Friedsam,Elementary School,71%,82%,NA,8.6,8.1,8.3,8.5
19K218,J.H.S. 218 James P. Sinnott,Middle School,23%,60%,85%,6.6,6.8,7.2,7.8
19K224,P.S. 224 Hale A. Woodruff,Elementary School,75%,52%,100%,7.2,7.0,7.3,7.6
19K260,P.S. 260 Breuckelen,Elementary School,100%,60%,NA,7.7,7.4,6.9,7.2
19K273,P.S. 273 Wortman,Elementary School,54%,97%,NA,8.5,8.0,7.9,8.1
19K290,P.S. 290 Juan Morel Campos,Elementary School,30%,57%,NA,8.2,8.0,7.8,8.2
19K292,J.H.S. 292 Margaret S. Douglas,Middle School,43%,89%,85%,6.4,6.8,7.0,7.5
19K302,J.H.S. 302 Rafael Cordero,Middle School,49%,85%,92%,6.2,6.5,6.8,7.2
19K306,P.S. 306 Ethan Allen,Elementary/Middle School,45%,78%,94%,6.4,6.6,6.8,7.3
19K311,Essence School,Middle School,52%,92%,94%,7.1,6.6,7.0,7.3
19K325,The Fresh Creek School,Early Childhood School,75%,75%,NA,9.1,8.5,8.7,8.8
19K328,P.S. 328 Phyllis Wheatley,Elementary/Middle School,27%,48%,70%,6.6,6.3,6.7,7.1
19K345,P.S. 345 Patrolman Robert Bolden,Elementary School,39%,67%,NA,7.8,7.3,7.4,7.7
19K346,P.S. 346 Abe Stark,Elementary School,53%,86%,NA,8.6,8.2,8.3,8.5
19K364,I.S. 364 Gateway,Middle School,48%,100%,97%,7.5,7.0,7.2,7.6
19K409,East New York Family Academy,Middle/High School,41%,69%,76%,7.8,6.7,6.9,7.3
19K420,Franklin K. Lane High School,High School,54%,77%,76%,7.1,6.9,7.3,7.6
19K431,Thomas Jefferson Yabc,YABC,12%,92%,70%,8.9,8.8,9.0,8.9
19K452,Frederick Douglass Academy Viii Middle School,Middle School,90%,88%,92%,8.5,7.9,8.3,8.7
19K501,Franklin K. Lane Campus Yabc,YABC,82%,95%,88%,7.9,7.1,7.3,7.6
19K502,Fdny High School For Fire And Life Safety,High School,42%,90%,87%,7.0,7.2,7.3,7.7
19K504,High School For Civil Rights,High School,18%,96%,64%,7.3,7.2,7.6,7.9
19K507,Performing Arts And Technology High School,High School,18%,71%,68%,7.0,6.9,7.2,7.6
19K510,World Academy For Total Community Health High Scho,High School,29%,30%,60%,6.0,5.9,6.2,6.5
19K583,Multicultural High School,High School,12%,100%,87%,7.4,7.3,7.4,7.6
19K615,Transit Tech Career And Technical Education High S,High School,11%,83%,60%,6.3,6.1,6.5,6.9
19K618,Academy Of Innovative Technology,High School,28%,76%,60%,7.2,7.0,7.4,7.7
19K639,Brooklyn Lab School,High School,25%,94%,78%,6.4,6.6,6.6,7.1
19K659,Cypress Hills Collegiate Preparatory School,High School,42%,100%,73%,7.4,7.0,7.5,7.7
19K660,W. H. Maxwell Career And Technical Education High,High School,66%,78%,72%,7.0,7.0,7.2,7.5
19K677,East New York Elementary School Of Excellence,Elementary School,69%,90%,NA,7.7,7.7,7.8,8.0
19K678,East New York Middle School Of Excellence,Middle School,79%,100%,97%,7.2,6.9,7.2,7.5
19K683,"The School For Classics: An Academy Of Thinkers, W",High School,51%,96%,91%,7.9,7.5,7.7,8.0
20K030,I.S. 30 Mary White Ovington,Middle School,76%,100%,96%,7.5,6.7,7.2,7.5
20K048,P.S. 048 Mapleton,Elementary School,96%,88%,NA,8.3,7.4,7.5,7.6
20K062,J.H.S. 062 Ditmas,Middle School,100%,99%,100%,7.7,7.0,7.5,7.7
20K069,P.S. 69 Vincent D. Grippo School,Elementary School,94%,77%,NA,8.8,8.0,8.3,8.3
20K102,P.S. 102 The Bayview,Elementary School,82%,70%,NA,8.3,7.8,7.9,8.0
20K104,P.S./I.S. 104 The Fort Hamilton School,Elementary/Middle School,97%,86%,98%,7.9,7.5,7.6,8.2
20K105,P.S. 105 The Blythebourne,Elementary School,100%,89%,NA,8.3,7.0,7.4,7.5
20K112,P.S. 112 Lefferts Park,Elementary School,100%,100%,NA,8.4,7.7,8.0,8.1
20K127,P.S. 127 Mckinley Park,Elementary School,93%,100%,NA,8.4,7.8,8.2,8.2
20K160,P.S. 160 William T. Sampson,Elementary School,100%,79%,NA,8.3,7.4,7.8,7.9
20K163,P.S. 163 Bath Beach,Elementary/Middle School,34%,60%,94%,8.5,7.6,8.3,8.4
20K164,P.S. 164 Caesar Rodney,Elementary School,100%,100%,NA,9.2,8.5,8.7,8.8
20K170,Ralph A. Fabrizio School,Elementary School,76%,93%,NA,8.2,7.3,7.6,7.8
20K176,P.S. 176 Ovington,Elementary School,90%,79%,NA,8.6,7.7,7.9,8.1
20K179,P.S. 179 Kensington,Elementary School,74%,91%,NA,7.7,6.6,6.9,7.1
20K180,The Seeall Academy,Elementary/Middle School,51%,62%,99%,7.9,7.2,7.5,7.8
20K185,P.S. 185 Walter Kassenbrock,Elementary School,91%,100%,NA,9.1,8.4,8.7,8.8
20K186,P.S. 186 Dr. Irving A Gladstone,Elementary School,100%,97%,NA,8.2,7.7,7.8,8.0
20K187,The Christa Mcauliffe School\I.S. 187,Middle School,68%,74%,100%,8.6,7.2,7.8,8.2
20K192,P.S. 192 - The Magnet School For Math And Science,Elementary/Middle School,73%,79%,100%,8.2,7.4,7.9,8.2
20K200,P.S. 200 Benson School,Elementary School,77%,63%,NA,7.5,6.4,6.8,6.9
20K201,J.H.S. 201 The Dyker Heights,Middle School,47%,60%,98%,8.0,6.6,7.3,7.7
20K204,P.S. 204 Vince Lombardi,Elementary School,61%,96%,NA,8.8,7.8,8.2,8.4
20K205,P.S. 205 Clarion,Elementary School,43%,55%,NA,7.7,6.3,6.7,6.9
20K220,J.H.S. 220 John J. Pershing,Middle School,40%,100%,97%,7.1,6.7,7.1,7.4
20K223,J.H.S. 223 The Montauk,Middle School,50%,100%,94%,7.7,6.9,7.5,7.9
20K227,J.H.S. 227 Edward B. Shallow,Middle School,45%,98%,95%,7.1,6.1,6.6,6.9
20K229,P.S. 229 Dyker,Elementary/Middle School,82%,97%,88%,7.7,6.7,6.9,7.6
20K247,P.S. 247 Brooklyn,Elementary School,45%,71%,NA,8.4,7.5,7.9,8.3
20K259,J.H.S. 259 William Mckinley,Middle School,52%,92%,92%,8.3,7.6,8.2,8.5
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,Early Childhood School,95%,82%,NA,8.7,7.3,7.8,8.3
20K310,P.S. 310,Early Childhood School,95%,93%,NA,8.7,8.2,8.4,8.4
20K445,New Utrecht High School,High School,52%,73%,78%,7.3,6.5,7.0,7.4
20K485,High School Of Telecommunication Arts And Technolo,High School,16%,87%,81%,7.9,7.2,7.3,7.9
20K490,Fort Hamilton High School,High School,58%,72%,83%,7.5,6.9,7.3,7.7
