,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_16_17_june_and_august,of_16_17_june_and_august_1,__1
260,02M400,2,3,High School for Environmental Studies,1182,841,71.2%,251,251,100.0%
261,02M303,2,3,"Facing History School, The",398,387,97.2%,63,63,100.0%
262,02M412,2,3,N.Y.C. Lab School for Collaborative Studies,529,385,72.8%,150,150,100.0%
263,02M507,2,3,Urban Assembly Gateway School for Technology,448,330,73.7%,96,96,100.0%
264,03M479,3,3,Beacon High School,1284,598,46.6%,283,282,99.6%
265,02M600,2,3,The High School of Fashion Industries,1625,"1,178",72.5%,362,362,100.0%
266,02M437,2,3,Hudson High School of Learning Technologies,460,323,70.2%,83,83,100.0%
267,75M721,75,3,P.S. M721 - Manhattan Occupational Training Center,160,17,10.6%,s,s,s
268,02M376,2,3,NYC iSchool,441,226,51.2%,102,102,100.0%
269,75M035,75,3,P.S. 035,266,188,70.7%,s,s,s
270,02M313,2,3,"James Baldwin School, The: A School for Expeditionary Learning",222,159,71.6%,50,50,100.0%
271,02M542,2,3,Manhattan Bridges High School,510,384,75.3%,105,105,100.0%
272,02M560,2,3,High School M560 - City As School,564,533,94.5%,128,128,100.0%
273,02M605,2,3,Humanities Preparatory Academy,200,195,97.5%,41,41,100.0%
274,02M393,2,3,Business Of Sports School,428,197,46.0%,84,84,100.0%
275,02M550,2,3,Liberty High School Academy for Newcomers,420,165,39.3%,64,64,100.0%
276,02M414,2,3,N.Y.C. Museum School,444,428,96.4%,117,117,100.0%
277,02M615,2,3,Chelsea Career and Technical Education High School,411,394,95.9%,77,77,100.0%
278,02M300,2,3,"Urban Assembly School of Design and Construction, The",363,141,38.8%,62,62,100.0%
279,02M534,2,3,Harvest Collegiate High School,451,216,47.9%,87,87,100.0%
280,02M392,2,3,MANHATTAN BUSINESS ACADEMY,412,242,58.7%,90,89,98.9%
281,02M570,2,3,Satellite Academy High School,223,215,96.4%,32,32,100.0%
282,02M288,2,3,Food and Finance High School,383,112,29.2%,84,84,100.0%
283,02M419,2,3,Landmark High School,350,341,97.4%,50,50,100.0%
284,02M544,2,3,Independence High School,230,179,77.8%,72,72,100.0%
285,02M422,2,3,Quest to Learn,352,207,58.8%,67,67,100.0%
286,24Q485,24,30,Grover Cleveland High School,1692,s,s,276,276,100.0%
287,27Q302,27,31,"Queens High School for Information, Research, and Technology",432,211,48.8%,89,89,100.0%
288,29Q265,29,31,Excelsior Preparatory High School,495,384,77.6%,105,105,100.0%
289,27Q309,27,31,Academy of Medical Technology: A College Board School,419,351,83.8%,s,s,s
290,27Q260,27,31,Frederick Douglass Academy VI High School,351,281,80.1%,s,s,s
291,29Q272,29,31,George Washington Carver High School for the Sciences,487,411,84.4%,106,106,100.0%
292,29Q248,29,31,Queens Preparatory Academy,458,142,31.0%,90,90,100.0%
293,29Q283,29,31,Preparatory Academy for Writers: A College Board School,412,325,78.9%,83,83,100.0%
294,27Q351,27,32,Rockaway Collegiate High School,346,154,44.5%,48,48,100.0%
295,27Q480,27,32,John Adams High School,2135,"1,079",50.5%,430,430,100.0%
296,27Q308,27,32,Robert H. Goddard High School of Communication Arts and Technology,613,361,58.9%,132,132,100.0%
297,27Q323,27,32,Scholars' Academy,623,270,43.3%,121,121,100.0%
298,27Q262,27,32,Channel View School for Research,486,446,91.8%,104,103,99.0%
299,27Q324,27,32,Rockaway Park High School for Environmental Sustainability,308,208,67.5%,58,58,100.0%
300,14K488,14,33,Brooklyn Preparatory High School,510,508,99.6%,108,108,100.0%
301,14K561,14,33,Williamsburg Preparatory School,661,651,98.5%,145,145,100.0%
302,13K439,13,33,Brooklyn International High School,350,211,60.3%,77,77,100.0%
303,13K483,13,33,The Urban Assembly School for Law and Justice,443,407,91.9%,101,101,100.0%
304,14K685,14,33,El Puente Academy for Peace and Justice,229,167,72.9%,33,33,100.0%
305,15K497,15,33,The Boerum Hill School for International Studies,274,267,97.4%,62,61,98.4%
306,15K429,15,33,Digital Arts and Cinema Technology High School,152,30,19.7%,25,25,100.0%
307,13K419,13,33,"Science Skills Center High School for Science, Technology and the Creative Arts",518,252,48.6%,108,108,100.0%
308,75K369,75,33,P.S. K369 - Coy L. Cox School,114,79,69.3%,s,s,s
309,13K527,13,33,Urban Assembly Institute of Math and Science for Young Women,299,295,98.7%,60,60,100.0%
310,14K632,14,33,Frances Perkins Academy,105,74,70.5%,23,23,100.0%
311,13K350,13,33,Urban Assembly School for Music and Art,255,60,23.5%,37,37,100.0%
312,15K656,15,33,Brooklyn High School of the Arts,840,709,84.4%,173,173,100.0%
313,14K071,14,33,Juan Morel Campos Secondary School,355,238,67.0%,70,70,100.0%
314,15K519,15,33,Cobble Hill School of American Studies,565,162,28.7%,85,85,100.0%
315,14K610,14,33,Automotive High School,295,177,60.0%,36,36,100.0%
316,13K674,13,33,"City Polytechnic High School of Engineering, Architecture, and Technology",413,95,23.0%,84,84,100.0%
317,15K592,15,33,Khalil Gibran International Academy,260,152,58.5%,38,38,100.0%
318,14K558,14,33,Williamsburg High School for Architecture and Design,551,397,72.1%,125,125,100.0%
319,13K412,13,33,"Brooklyn Community High School of Communication, Arts and Media",402,368,91.5%,78,78,100.0%
320,13K616,13,33,Brooklyn High School for Leadership and Community Service,155,133,85.8%,s,s,s
321,15K423,15,33,Brooklyn Frontiers High School,131,61,46.6%,12,12,100.0%
322,13K605,13,33,George Westinghouse Career and Technical Education High School,654,168,25.7%,85,85,100.0%
323,14K614,14,34,Young Women's Leadership School of Brooklyn,228,222,97.4%,54,54,100.0%
324,14K474,14,34,PROGRESS High School for Professional Careers,807,399,49.4%,179,179,100.0%
325,14K477,14,34,School for Legal Studies,403,150,37.2%,98,98,100.0%
326,32K545,32,34,EBC High School for Public Service - Bushwick,495,347,70.1%,86,86,100.0%
327,32K556,32,34,Bushwick Leaders High School for Academic Excellence,270,146,54.1%,51,51,100.0%
328,14K478,14,34,"The High School for Enterprise, Business and Technology",872,819,93.9%,183,183,100.0%
329,14K449,14,34,"Brooklyn Latin School, The",715,532,74.4%,171,171,100.0%
330,14K586,14,34,Lyons Community School,331,98,29.6%,57,57,100.0%
331,14K454,14,34,Green School: An Academy for Environmental Careers,235,85,36.2%,25,25,100.0%
332,17K548,17,35,Brooklyn School for Music & Theatre,301,223,74.1%,62,62,100.0%
333,17K524,17,35,International High School at Prospect Heights,399,285,71.4%,64,64,100.0%
334,13K499,13,35,ACORN Community High School,239,137,57.3%,58,58,100.0%
335,17K489,17,35,W.E.B. Dubois Academic High School,91,s,s,21,21,100.0%
336,17K547,17,35,Brooklyn Academy of Science and the Environment,380,206,54.2%,76,76,100.0%
337,13K265,13,35,Dr. Susan S. McKinney Secondary School of the Arts,262,66,25.2%,55,55,100.0%
338,17K590,17,35,Medgar Evers College Preparatory School,902,414,45.9%,235,232,98.7%
339,13K670,13,35,Benjamin Banneker Academy,850,405,47.6%,214,214,100.0%
340,75K753,75,35,P.S. K753 - School for Career Development,224,s,s,11,11,100.0%
341,17K528,17,35,The High School for Global Citizenship,199,178,89.4%,35,35,100.0%
342,13K430,13,35,Brooklyn Technical High School,5629,"4,091",72.7%,"1,298","1,298",100.0%
343,17K600,17,35,Clara Barton High School,1188,763,64.2%,230,230,100.0%
344,13K575,13,36,Bedford Stuyvesant Preparatory High School,106,79,74.5%,s,s,s
345,16K669,16,36,Research and Service High School,183,153,83.6%,10,10,100.0%
346,16K455,16,36,Boys and Girls High School,395,335,84.8%,86,86,100.0%
347,75K368,75,36,P.S. 368,75,s,s,s,s,s
348,16K765,16,36,Nelson Mandela High School,256,201,78.5%,s,s,s
349,16K688,16,36,The Brooklyn Academy of Global Finance,108,60,55.6%,28,28,100.0%
350,17K751,17,36,Academy for Health Careers,365,260,71.2%,70,70,100.0%
351,13K553,13,36,Brooklyn Academy High School,132,106,80.3%,36,36,100.0%
352,17K122,17,36,Pathways in Technology Early College High School (P-Tech),553,395,71.4%,88,88,100.0%
353,75K373,75,36,P.S. 373 - Brooklyn Transition Center,381,37,9.7%,s,s,s
354,13K595,13,36,Bedford Academy High School,352,175,49.7%,83,83,100.0%
355,16K393,16,36,Frederick Douglass Academy IV Secondary School,49,s,s,s,s,s
356,19K639,19,37,Brooklyn Lab School,329,173,52.6%,57,57,100.0%
357,32K549,32,37,Bushwick School for Social Justice,378,318,84.1%,73,73,100.0%
358,23K646,23,37,Aspirations Diploma Plus High School,216,201,93.1%,57,57,100.0%
359,19K659,19,37,Cypress Hills Collegiate Preparatory School,201,175,87.1%,45,45,100.0%
360,32K552,32,37,Academy of Urban Planning,181,95,52.5%,s,s,s
361,19K764,19,37,The Urban Assembly School for Collaborative Healthcare,236,84,35.6%,s,s,s
362,32K564,32,37,Bushwick Community High School,194,190,97.9%,44,s,s
363,32K168,32,37,The Brooklyn School for Math and Research,264,255,96.6%,58,58,100.0%
364,19K583,19,37,Multicultural High School,211,115,54.5%,52,52,100.0%
365,19K615,19,37,Transit Tech Career and Technical Education High School,772,748,96.9%,163,163,100.0%
366,32K554,32,37,All City Leadership Secondary School,228,157,68.9%,s,s,s
367,19K618,19,37,Academy of Innovative Technology,380,87,22.9%,74,74,100.0%
368,19K660,19,37,W. H. Maxwell Career and Technical Education High School,405,253,62.5%,64,63,98.4%
369,32K403,32,37,Academy for Environmental Leadership,287,235,81.9%,71,71,100.0%
370,15K698,15,38,South Brooklyn Community High School,164,118,72.0%,s,s,s
371,75K053,75,38,P.S. K053,188,s,s,s,s,s
372,75K371,75,38,P.S. 371 - Lillian L. Rashkis,243,s,s,19,19,100.0%
373,15K667,15,38,Sunset Park High School,1201,573,47.7%,221,221,100.0%
374,15K464,15,39,Park Slope Collegiate,398,291,73.1%,44,44,100.0%
375,15K448,15,39,Brooklyn Secondary School for Collaborative Studies,396,371,93.7%,79,76,96.2%
376,15K462,15,39,John Jay School for Law,401,341,85.0%,78,78,100.0%
377,15K463,15,39,Secondary School for Journalism,217,72,33.2%,s,s,s
378,22K555,22,39,Brooklyn College Academy,613,364,59.4%,144,144,100.0%
379,15K529,15,39,West Brooklyn Community High School,196,135,68.9%,s,s,s
380,15K684,15,39,Millennium Brooklyn HS,654,171,26.1%,165,165,100.0%
381,02M529,2,4,Jacqueline Kennedy Onassis High School,592,532,89.9%,104,104,100.0%
382,02M630,2,4,Art and Design High School,1391,"1,293",93.0%,286,286,100.0%
383,75M169,75,4,P.S. M169 - Robert F. Kennedy,11,s,s,s,s,s
384,02M531,2,4,Repertory Company High School for Theatre Arts,242,s,s,s,s,s
385,17K546,17,40,High School for Public Service: Heroes of Tomorrow,446,320,71.7%,88,88,100.0%
386,75K141,75,40,P.S. K141,20,s,s,s,s,s
387,17K533,17,40,School for Democracy and Leadership,180,s,s,s,s,s
388,17K531,17,40,"School for Human Rights, The",277,130,46.9%,45,45,100.0%
389,17K745,17,40,Brooklyn Institute for Liberal Arts,362,325,89.8%,85,85,100.0%
390,17K408,17,40,Academy of Hospitality and Tourism,191,161,84.3%,36,36,100.0%
391,17K543,17,40,"Science, Technology and Research Early College High School at Erasmus",343,340,99.1%,83,83,100.0%
392,17K539,17,40,High School for Service & Learning at Erasmus,376,185,49.2%,70,70,100.0%
393,17K382,17,40,Academy for College Preparation and Career Exploration: A College Board School,272,134,49.3%,41,41,100.0%
394,17K537,17,40,High School for Youth and Community Development at Erasmus,425,314,73.9%,75,75,100.0%
395,23K514,23,41,Frederick Douglass Academy VII High School,195,s,s,56,56,100.0%
396,18K673,18,41,East Brooklyn Community High School,185,138,74.6%,59,59,100.0%
397,18K589,18,41,Arts & Media Preparatory Academy,161,140,87.0%,s,s,s
398,16K498,16,41,Brooklyn High School for Law and Technology,613,343,56.0%,126,126,100.0%
399,23K644,23,41,Eagle Academy for Young Men II,356,348,97.8%,73,73,100.0%
400,16K594,16,41,Gotham Professional Arts Academy,179,s,s,26,26,100.0%
401,17K568,17,41,Brownsville Academy High School,125,113,90.4%,s,s,s
402,23K493,23,41,Brooklyn Collegiate: A College Board School,279,252,90.3%,51,51,100.0%
403,23K697,23,41,Teachers Preparatory High School,227,193,85.0%,48,45,93.8%
404,19K683,19,42,"The School for Classics: An Academy of Thinkers, Writers and Performers",311,276,88.7%,56,56,100.0%
405,19K404,19,42,Academy for Young Writers,355,353,99.4%,108,108,100.0%
406,23K647,23,42,Metropolitan Diploma Plus High School,154,s,s,s,s,s
407,19K510,19,42,World Academy for Total Community Health High School,245,203,82.9%,48,48,100.0%
408,75K036,75,42,P.S. 36,31,s,s,s,s,s
409,19K504,19,42,High School for Civil Rights,265,167,63.0%,57,57,100.0%
410,19K507,19,42,Performing Arts and Technology High School,457,313,68.5%,55,55,100.0%
411,19K502,19,42,FDNY - Captain Vernon A. Richards High School for Fire and Life Safety,311,187,60.1%,s,s,s
412,23K643,23,42,Brooklyn Democracy Academy,201,193,96.0%,s,s,s
413,19K409,19,42,East New York Family Academy,273,261,95.6%,63,63,100.0%
414,20K445,20,43,New Utrecht High School,3540,"2,223",62.8%,703,703,100.0%
415,20K490,20,43,Fort Hamilton High School,4362,"1,132",26.0%,878,878,100.0%
416,20K485,20,43,High School of Telecommunication Arts and Technology,1238,"1,186",95.8%,283,283,100.0%
417,20K505,20,44,Franklin Delano Roosevelt High School,3054,"1,670",54.7%,554,554,100.0%
418,20K609,20,44,Urban Assembly School for Criminal Justice,331,328,99.1%,80,80,100.0%
419,21K525,21,44,Edward R. Murrow High School,3725,"2,695",72.3%,766,766,100.0%
420,22K405,22,45,Midwood High School,3925,"3,272",83.4%,863,863,100.0%
421,18K563,18,45,It Takes a Village Academy,711,439,61.7%,143,143,100.0%
422,18K629,18,45,Cultural Academy for the Arts and Sciences,348,101,29.0%,70,70,100.0%
423,18K569,18,45,Kurt Hahn Expeditionary Learning School,364,293,80.5%,63,63,100.0%
424,18K578,18,46,Brooklyn Bridge Academy,155,139,89.7%,s,s,s
425,18K637,18,46,Academy for Conservation and the Environment,266,89,33.5%,55,54,98.2%
426,18K567,18,46,Brooklyn Theatre Arts High School,363,269,74.1%,89,89,100.0%
427,18K633,18,46,High School for Medical Professions,420,399,95.0%,95,95,100.0%
428,18K642,18,46,Urban Action Academy,300,186,62.0%,56,56,100.0%
429,18K635,18,46,Olympus Academy,178,138,77.5%,37,37,100.0%
430,18K617,18,46,High School for Innovation in Advertising and Media,282,139,49.3%,45,45,100.0%
431,18K566,18,46,Brooklyn Generation School,211,121,57.3%,51,51,100.0%
432,19K422,19,46,Spring Creek Community School,169,74,43.8%,s,s,s
433,18K576,18,46,Victory Collegiate High School,316,298,94.3%,55,55,100.0%
434,21K337,21,47,International High School at Lafayette,348,235,67.5%,60,60,100.0%
435,21K348,21,47,High School of Sports Management,256,53,20.7%,s,s,s
436,21K728,21,47,Liberation Diploma Plus,161,140,87.0%,s,s,s
437,21K468,21,47,Kingsborough Early College School,347,313,90.2%,78,78,100.0%
438,21K344,21,47,Rachel Carson High School for Coastal Studies,565,509,90.1%,91,91,100.0%
439,21K690,21,47,Brooklyn Studio Secondary School,632,597,94.5%,140,140,100.0%
440,75K721,75,47,P.S. K721 - Brooklyn Occupational Training Center,466,13,2.8%,s,s,s
441,21K410,21,47,Abraham Lincoln High School,1962,"1,270",64.7%,374,374,100.0%
442,21K540,21,47,John Dewey High School,2207,"1,741",78.9%,376,376,100.0%
443,21K559,21,47,Life Academy High School for Film and Music,276,94,34.1%,44,44,100.0%
444,21K572,21,47,Expeditionary Learning School for Community Leaders,317,309,97.5%,57,57,100.0%
445,22K535,22,48,Leon M. Goldstein High School for the Sciences,1017,713,70.1%,259,259,100.0%
446,75K370,75,48,P.S. 370,74,63,85.1%,s,s,s
447,75K771,75,48,P.S. K771,21,17,81.0%,s,s,s
448,22K630,22,48,Professional Pathways High School,193,141,73.1%,35,35,100.0%
449,21K620,21,48,William E. Grady Career and Technical Education High School,479,135,28.2%,95,95,100.0%
450,22K425,22,48,James Madison High School,3315,"2,094",63.2%,622,622,100.0%
451,75K811,75,48,P.S. K811 Connie Lekas School,287,177,61.7%,s,s,s
452,75K077,75,48,P.S. K077,111,55,49.5%,s,s,s
453,22K611,22,48,Origins High School,427,199,46.6%,72,72,100.0%
454,75R721,75,49,The Richard H. Hungerford School,358,15,4.2%,s,s,s
455,31R445,31,49,Port Richmond High School,1487,535,36.0%,285,285,100.0%
456,31R470,31,49,Concord High School,137,133,97.1%,s,s,s
457,31R450,31,49,Curtis High School,2453,832,33.9%,445,445,100.0%
458,31R600,31,49,Ralph R. McKee Career and Technical Education High School,723,205,28.4%,126,126,100.0%
459,02M416,2,5,Eleanor Roosevelt High School,543,519,95.6%,146,146,100.0%
460,02M449,2,5,Vanguard High School,430,182,42.3%,78,72,92.3%
461,02M565,2,5,Urban Academy Laboratory High School,168,104,61.9%,27,27,100.0%
462,02M519,2,5,Talent Unlimited High School,477,240,50.3%,123,123,100.0%
463,02M655,2,5,Life Sciences Secondary School,525,232,44.2%,80,80,100.0%
464,02M459,2,5,Manhattan International High School,332,238,71.7%,58,58,100.0%
465,31R080,31,50,The Michael J. Petrides School,465,224,48.2%,116,116,100.0%
466,31R605,31,50,Staten Island Technical High School,1309,"1,309",100.0%,325,325,100.0%
467,31R460,31,50,Susan E. Wagner High School,3265,"2,039",62.5%,752,752,100.0%
468,31R440,31,50,New Dorp High School,2901,"1,230",42.4%,563,563,100.0%
469,31R064,31,51,Gaynor McCown Expeditionary Learning School,425,391,92.0%,s,s,s
470,75R025,75,51,South Richmond High School I.S./P.S. 25,277,s,s,s,s,s
471,31R047,31,51,CSI High School for International Studies,484,361,74.6%,126,120,95.2%
472,31R455,31,51,Tottenville High School,3856,"2,770",71.8%,938,938,100.0%
473,75R037,75,51,P.S. R037,64,s,s,s,s,s
474,03M403,3,6,The Global Learning Collaborative,417,239,57.3%,75,75,100.0%
475,03M492,3,6,"High School for Law, Advocacy and Community Justice",466,157,33.7%,81,81,100.0%
476,03M494,3,6,High School of Arts and Technology,536,238,44.4%,98,98,100.0%
477,03M541,3,6,Manhattan / Hunter Science High School,447,442,98.9%,121,121,100.0%
478,03M307,3,6,"Urban Assembly School for Media Studies, The",390,186,47.7%,74,74,100.0%
479,03M485,3,6,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,2662,810,30.4%,630,630,100.0%
480,03M859,3,6,Special Music School,179,96,53.6%,50,50,100.0%
481,03M402,3,6,The Urban Assembly School for Green Careers,301,286,95.0%,73,73,100.0%
482,03M404,3,6,Innovation Diploma Plus,155,131,84.5%,29,29,100.0%
483,03M299,3,6,The Maxine Greene HS for Imaginative Inquiry,418,304,72.7%,74,74,100.0%
484,03M417,3,6,Frank Mccourt High School,390,182,46.7%,87,87,100.0%
485,03M505,3,7,Edward A. Reynolds West Side High School,353,285,80.7%,58,58,100.0%
486,05M362,5,7,Columbia Secondary School,385,283,73.5%,93,93,100.0%
487,06M346,6,7,Community Health Academy of the Heights,386,289,74.9%,68,68,100.0%
488,05M369,5,7,Urban Assembly School for the Performing Arts,317,s,s,52,52,100.0%
489,05M367,5,7,Academy for Social Action,121,s,s,18,18,100.0%
490,07X427,7,8,Community School for Social Justice,288,228,79.2%,44,44,100.0%
491,04M495,4,8,Park East High School,411,355,86.4%,109,109,100.0%
492,07X223,7,8,M.S. 223 The Laboratory School of Finance and Technology,391,352,90.0%,82,82,100.0%
493,07X259,7,8,"H.E.R.O. High (Health, Education, and Research Occupations High School)",439,366,83.4%,79,76,96.2%
494,04M435,4,8,Manhattan Center for Science and Mathematics,1586,685,43.2%,389,389,100.0%
495,07X551,7,8,The Urban Assembly Bronx Academy of Letters,337,241,71.5%,68,68,100.0%
496,07X557,7,8,Mott Haven Community High School,205,202,98.5%,43,43,100.0%
497,04M680,4,8,"Heritage School, The",300,156,52.0%,49,49,100.0%
498,75X168,75,8,P.S. 168,13,11,84.6%,s,s,s
499,75X754,75,8,J. M. Rapport School Career Development,495,155,31.3%,s,s,s
500,04M555,4,8,Central Park East High School,476,351,73.7%,110,110,100.0%
501,04M610,4,8,Young Women's Leadership School,324,239,73.8%,82,82,100.0%
502,07X221,7,8,South Bronx Preparatory: A College Board School,365,363,99.5%,75,75,100.0%
503,07X670,7,8,Health Opportunities High School,442,329,74.4%,76,76,100.0%
504,04M372,4,8,Esperanza Preparatory Academy,359,197,54.9%,60,60,100.0%
505,04M409,4,8,Coalition School for Social Change,152,151,99.3%,47,47,100.0%
506,07X334,7,8,International Community High School,410,88,21.5%,73,73,100.0%
507,05M157,5,9,The Urban Assembly School for Global Commerce,241,139,57.7%,49,49,100.0%
508,05M285,5,9,Harlem Renaissance High School,210,149,71.0%,s,s,s
509,05M148,5,9,Eagle Academy for Young Men of Harlem,85,s,s,s,s,s
510,05M670,5,9,Thurgood Marshall Academy for Learning and Social Change,368,191,51.9%,83,81,97.6%
511,03M860,3,9,Frederick Douglass Academy II Secondary School,303,184,60.7%,58,58,100.0%
512,05M499,5,9,Frederick Douglass Academy,1098,469,42.7%,234,233,99.6%
513,05M692,5,9,"High School for Mathematics, Science and Engineering at City College",459,328,71.5%,106,106,100.0%
514,75M079,75,9,P.S. M079 - Horan School,240,s,s,s,s,s
515,03M415,3,9,Wadleigh Secondary School for the Performing & Visual Arts,237,97,40.9%,67,67,100.0%
516,06M540,6,9,A. Philip Randolph Campus High School,1308,332,25.4%,247,247,100.0%
517,05M304,5,9,Mott Hall High School,355,279,78.6%,68,68,100.0%
518,75M138,75,9,P.S. 138,167,29,17.4%,s,s,s
